,name,state,id,lat,lon
1,Brilliant, AL,55482,34.0253797,-87.7583574
3,Garyville, LA,45403,30.056035,-90.6192554
5,Dodson, LA,51724,32.0804373,-92.660428
10,Fackler, AL,42373,34.7925827,-85.9099775
20,Reeves, LA,47328,30.5210332,-93.0476536
31,Keaton, KY,45993,37.9856442,-82.9601659
33,Little Rock, SC,52999,34.4765512,-79.4031024
51,Flaxville, MT,55978,48.8039142,-105.1727604
59,Ingalls, MI,45883,45.3768662,-87.6106172
61,Ledger, MT,55832,48.2586367,-111.823504
64,Celebration, FL,48696,28.309403,-81.551582
66,Scofield, UT,50555,39.71492385,-111.1610207206
68,Montrose, MS,46596,32.1243161,-89.2356169
70,Greenfield,TN,55923,36.1533982,-88.8006163
74,Millersville, TN,42878,36.3910445,-86.7132740958
78,Echo, UT,51842,40.9777325,-111.4424342
84,Albion,ID,50664,42.4126885,-113.578063
89,Gordon, KY,50192,36.9928696,-83.02433
91,Cleveland, UT,55569,39.3489213,-110.8517022
93,La Verkin,UT,52828,37.2019399,-113.270673
106,Bonifay,FL,48717,30.7918559,-85.6796533
117,Sunburst, MT,54620,48.882602,-111.910475
124,Smiths, AL,50089,34.1764837,-86.0655297
134,Clarence, LA,51425,31.821552,-93.0296061
139,Fort Knox, KY,45314,37.896313,-85.946387
141,Fort George G Meade, MD,45312,37.87792,-76.96358
147,Rowdy, KY,54228,37.40315,-83.21017
156,Excel, AL,4631,31.4279433,-87.3413731
159,Cassadaga, FL,44471,28.9663755,-81.235894
168,Copeland, FL,4205,25.944263499999998,-81.3628561
174,Tangipahoa, LA,9345,30.8760151,-90.5120391
178,Bittinger, MD,55324,39.6023092,-79.2233674
182,Fairfield, KY,4656,37.932222,-85.383883743
186,Petros, TN,6482,36.0959109,-84.4424335
190,Kline, SC,5446,33.1259873,-81.3426069
192,Sycamore, AL,54646,33.2512251,-86.2024731
208,Pollard, AL,6554,31.0271252,-87.1735825
215,Annapolis Junction, MD,50736,39.12287,-76.78757
221,Mooresville, AL,6033,34.625923,-86.8800223605
223,Rion, SC,6772,34.307092,-81.1250904
225,Arapahoe, WY,50746,42.9619881,-108.4887138
226,Wolford, VA,48561,37.3645552,-81.9912364
237,Riverside, WY,54162,41.2174654,-106.778928
240,Shongaloo, LA,54406,32.9415284,-93.2987799
249,Yorkville, TN,55289,36.0995134,-89.1189568
258,Walloon Lake, MI,7749,45.2661206,-84.9336597
259,Satartia, MS,9963,32.672047,-90.5447075296
260,Loretto, VA,42907,38.0762445,-77.0505282
264,Sharps, VA,47649,37.8240267,-76.7007912
267,Livingston, SC,46275,33.5534855,-81.1187093
269,Silverton, ID,7084,47.4940526,-115.9553597
277,Weeki Wachee, FL,55074,28.5156479,-82.5735662
289,Zoe, KY,55297,37.680363,-83.6840804
292,Hall Summit, LA,8693,32.1773811,-93.3023928
297,Egan, LA,49065,30.2368713,-92.505969
302,Pine Apple, AL,50490,31.872651,-86.9910942
304,Pony, MT,53957,45.658451,-111.894499
306,Provencal, LA,56891,31.6512868,-93.2032015
312,Croydon, UT,51610,41.0685562,-111.5138141
318,Carrsville, KY,51288,37.3971905,-88.3733669154
322,South Carrollton, KY,7139,37.3375441,-87.1419405
333,Buckeystown, MD,43600,39.3329309,-77.4324408
335,Ridgeville, AL,56252,34.0556522,-86.1021968
339,Dayton, AL,4309,32.3480925,-87.6415606361
350,Hollister, ID,42242,42.3532439,-114.575039
369,Onley,VA,9872,37.6908513,-75.7161703
370,Lemhi, ID,46217,44.85159,-113.61977
372,Sieper, LA,56746,31.2110159,-92.8082059
378,Fordoche, LA,4747,30.5960234,-91.6165022
387,Salem, FL,54282,29.8868872,-83.4129186
388,Dahlgren, VA,55408,38.3361504,-77.0515128
392,Ewen, MI,45203,46.535222,-89.2812556
394,Oak City, UT,9110,39.3747876,-112.335844
396,Moose, WY,49434,43.6559315,-110.7164398
403,Rosedale, LA,50059,29.9215921,-90.9737089
407,Blue River, KY,51043,37.6192636,-82.8437732
410,Bynum, AL,44392,33.6131592,-85.9610793
413,Allred, TN,42130,36.3306204,-85.1896847
424,Gattman, MS,4867,33.8853865,-88.2353142
432,Vest, KY,54941,37.396764,-83.0065542
436,Mc Connell, IL,8992,48.52354,-116.43353
441,Ulmer, SC,50147,33.09508,-81.2074063564
442,Broadford, VA,44321,36.9273371,-81.6726164
444,Lysite, WY,46354,43.2679859,-107.690451
446,Glynn, LA,50482,30.6265763,-91.3553885
450,New Zion, SC,56290,33.8443276,-80.0292406
452,West Glacier, MT,7841,48.4963369,-113.982443
454,Williamsport, KY,49868,37.8206503,-82.7290471
456,Melvin, KY,9033,37.3503803,-82.6940455
460,Big Laurel, KY,8058,36.979814,-83.2171188
466,Glendale, UT,57235,37.3177609,-112.597154
470,Gilliam, LA,4892,32.8270851,-93.8451793
473,Mitchells, VA,53363,38.3770735,-78.0283316
482,Acton, MT,55577,45.9305083,-108.6806978
484,Meriden, WY,53272,41.5435872,-104.3191257
486,Sweeden, KY,7343,37.2536595,-86.2788629
489,Telogia, FL,54668,30.3507524,-84.8190802
493,Firebrick, KY,57220,38.6875766,-83.0471199
494,Linefork, KY,43388,37.0198154,-82.9596061
495,Palmdale, FL,46966,26.9453358,-81.3161838
501,Ingleside, MD,45885,39.0923343,-75.8768812
505,Parkers Lake, KY,6415,36.86012,-84.43731
513,Lonetree, WY,9150,41.054395,-110.154041
517,Garrett, WY,55738,41.345809,-85.130505
522,Garfield, KY,52174,37.782839,-86.3574754
526,Frankville, AL,4808,31.6465492,-88.1475089
528,Snelling, SC,56806,33.2398708,-81.4559409
530,Trenton, AL,48031,34.7448092,-86.2516512
537,Franklin, AL,9919,32.4784706,-85.8024562
539,Inverness, MT,42409,48.5562726,-110.6883724
541,Lonepine, MT,42902,47.702994,-114.6367966
550,Holden, UT,5187,39.0988507,-112.27077
556,Stanville, KY,49823,37.5667656,-82.6423776
559,Manville, WY,5790,42.7791338,-104.617736
570,Tram, KY,54735,37.5734321,-82.6462666
572,Thousandsticks, KY,47994,37.1850916,-83.4287955
582,Norris, SC,56339,34.7649816,-82.7512531
587,Hulbert, MI,45841,46.3541782,-85.150088
590,Olney, MT,53717,48.5485799,-114.5781789
603,Sidnaw, MI,47694,46.5065165,-88.7062364
605,Sebastopol, MS,47610,32.56836,-89.3336233469
627,Perryman, MD,53861,39.4695543,-76.2043987
629,Harned, KY,42500,37.7517261,-86.4135881
