region_id,region_type,region
99999,zip,"98847;WA;Wenatchee, WA;Leavenworth;Chelan County"
99998,zip,98846;WA;nan;Pateros;Okanogan County
99997,zip,98845; WA; Wenatchee; Douglas County; Palisades
99996,zip,98844;WA;nan;Oroville;Okanogan County
99995,zip,"98843;WA;Wenatchee, WA;Orondo;Douglas County"
99994,zip,98841;WA;nan;Omak;Okanogan County
99993,zip,98840;WA;nan;Okanogan;Okanogan County
99992,zip,"98837;WA;Moses Lake, WA;Moses Lake;Grant County"
99991,zip,"98836; WA; Wenatchee, WA; Chelan County; Cashmere"
99990,zip,98834;WA;nan;Methow;Okanogan County
9999,city,"Carrsville;VA;Virginia Beach-Norfolk-Newport News, VA-NC;Isle of Wight County"
99989,zip,"98833;WA;Bellingham, WA;nan;Whatcom County"
99988,zip,98832; WA; Moses Lake; Grant County; Krupp
99987,zip,"98831;WA;Wenatchee, WA;Manson;Chelan County"
99986,zip,"98830;WA;Wenatchee, WA;Bridgeport;Douglas County"
99985,zip,98829;WA;nan;Okanogan;Okanogan County
99984,zip,"98828;WA;Wenatchee, WA;Malaga;Chelan County"
99983,zip,98827;WA;nan;Loomis;Okanogan County
99982,zip,"98826;WA;Wenatchee, WA;Leavenworth;Chelan County"
99980,zip,"98823;WA;Moses Lake, WA;Ephrata;Grant County"
9998,city,Birchleaf;VA;nan;Dickenson County
99979,zip,"98822;WA;Wenatchee, WA;Entiat;Chelan County"
99978,zip,"98821; WA; Wenatchee, WA; Chelan County; Cashmere"
99977,zip,98819; WA; Okanogan County; Omak
99976,zip,"98817; WA; Wenatchee, WA; Chelan County; Chelan Falls"
99975,zip,"98816;WA;Wenatchee, WA;Chelan;Chelan County"
99974,zip,"98815;WA;Wenatchee, WA;Cashmere;Chelan County"
99973,zip,98814;WA;nan;Carlton;Okanogan County
99972,zip,"98813;WA;Wenatchee, WA;Bridgeport;Douglas County"
99971,zip,98812;WA;nan;Brewster;Okanogan County
99970,zip,98811; WA; Wenatchee; Chelan County; Entiat
99968,zip,"98802;WA;Wenatchee, WA;East Wenatchee;Douglas County"
99967,zip,"98801;WA;Wenatchee, WA;Wenatchee;Chelan County"
99965,zip,"98686;WA;Portland-Vancouver-Hillsboro, OR-WA;Vancouver;Clark County"
99964,zip,"98685;WA;Portland-Vancouver-Hillsboro, OR-WA;Vancouver;Clark County"
99963,zip,"98684;WA;Portland-Vancouver-Hillsboro, OR-WA;Vancouver;Clark County"
