"region_id","region_type","region"
"89834","zip","72955; AR; Fort Smith, AR-OK; Crawford County; Uniontown"
"89833","zip","72952;AR;Fort Smith, AR-OK;Rudy;Crawford County"
"89832","zip","72951; AR; Fort Smith, AR-OK; Franklin County; Branch"
"89831","zip","72950; AR; Scott County; Parks"
"89830","zip","72949;AR;Fort Smith, AR-OK;Ozark;Franklin County"
"89829","zip","72948; AR; Fort Smith, AR-OK; Crawford County; Natural Dam"
"89828","zip","72947;AR;Fort Smith, AR-OK;Mulberry;Crawford County"
"89827","zip","72946;AR;Fort Smith, AR-OK;Mountainburg;Crawford County"
"89826","zip","72945; AR; Fort Smith, AR-OK; Sebastian County; Midland"
"89825","zip","72944;AR;Fort Smith, AR-OK;Mansfield;Sebastian County"
"89824","zip","72943;AR;nan;Magazine;Logan County"
"89823","zip","72941;AR;Fort Smith, AR-OK;nan;Sebastian County"
"89822","zip","72940;AR;Fort Smith, AR-OK;Huntington;Sebastian County"
"89821","zip","72938; AR; Fort Smith, AR-OK; Sebastian County; Hartford"
"89820","zip","72937;AR;Fort Smith, AR-OK;Hackett;Sebastian County"
"89819","zip","72936;AR;Fort Smith, AR-OK;Greenwood;Sebastian County"
"89818","zip","72935; AR; Fort Smith; Crawford County; Dyer"
"89817","zip","72934; AR; Fort Smith, AR-OK; Crawford County; Chester"
"89816","zip","72933;AR;Fort Smith, AR-OK;Charleston;Franklin County"
"89815","zip","72932;AR;Fort Smith, AR-OK;Cedarville;Crawford County"
"89814","zip","72930; AR; Fort Smith, AR-OK; Sebastian County; Cecil"
"89813","zip","72928; AR; Fort Smith, AR-OK; Franklin County; Branch"
"89812","zip","72927;AR;nan;nan;Logan County"
"89811","zip","72926; AR; Scott County; Mena"
"89810","zip","72923;AR;Fort Smith, AR-OK;Barling;Sebastian County"
"89809","zip","72921;AR;Fort Smith, AR-OK;Alma;Crawford County"
"89805","zip","72916;AR;Fort Smith, AR-OK;Fort Smith;Sebastian County"
"89802","zip","72908;AR;Fort Smith, AR-OK;Fort Smith;Sebastian County"
"89799","zip","72904;AR;Fort Smith, AR-OK;Fort Smith;Sebastian County"
"89798","zip","72903;AR;Fort Smith, AR-OK;Fort Smith;Sebastian County"
"89796","zip","72901;AR;Fort Smith, AR-OK;Fort Smith;Sebastian County"
"89795","zip","72865; AR; Logan County; Subiaco"
"89794","zip","72863; AR; Logan County; Scranton"
"89793","zip","72860; AR; Russellville, AR; Yell County; Rover"
"89792","zip","72858;AR;Russellville, AR;Pottsville;Pope County"
"89791","zip","72857; AR; Russellville, AR; Yell County; Plainview"
"89790","zip","72856; AR; Harrison, AR; Newton County; Dover"
"89789","zip","72855;AR;nan;Paris;Logan County"
"89788","zip","72854; AR; Johnson County; Ozone"
"89787","zip","72853; AR; Russellville, AR; Yell County; Plainview"
"89786","zip","72852; AR; Johnson County; Ozone"
"89785","zip","72851; AR; Logan County; New Blaine"
"89784","zip","72847;AR;Russellville, AR;London;Pope County"
"89783","zip","72846;AR;nan;Lamar;Johnson County"
"89782","zip","72845;AR;nan;Knoxville;Johnson County"
"89781","zip","72843;AR;Russellville, AR;Hector;Pope County"
"89780","zip","72842;AR;Russellville, AR;nan;Yell County"
"89779","zip","72841; AR; Scott County; Harvey"
"89778","zip","72840;AR;nan;Hartman;Johnson County"
"89777","zip","72839; AR; Johnson County; Hagarville"
"89776","zip","72838; AR; Russellville; Yell County; Gravelly"
"89775","zip","72837;AR;Russellville, AR;Dover;Pope County"
"89774","zip","72835;AR;nan;Delaware;Logan County"
"89773","zip","72834;AR;Russellville, AR;Dardanelle;Yell County"
"89772","zip","72833;AR;Russellville, AR;nan;Yell County"
"89771","zip","72832;AR;nan;Coal Hill;Johnson County"
"89770","zip","72830;AR;nan;Clarksville;Johnson County"
"89768","zip","72828; AR; Russellville; Yell County; Briggsville"
"89767","zip","72827; AR; Russellville, AR; Yell County; Bluffton"
"89766","zip","72826; AR; Logan County; Magazine"
"89765","zip","72824; AR; Russellville, AR; Yell County; Belleville"
"89764","zip","72823;AR;Russellville, AR;Atkins;Pope County"
"89763","zip","72821;AR;Fort Smith, AR-OK;Altus;Franklin County"
"89759","zip","72802;AR;Russellville, AR;Russellville;Pope County"
"89758","zip","72801;AR;Russellville, AR;Russellville;Pope County"
"89757","zip","72776; AR; Fayetteville-Springdale-Rogers, AR; Madison County; Witter"
"89756","zip","72774;AR;Fayetteville-Springdale-Rogers, AR;West Fork;Washington County"
"89755","zip","72773;AR;Fayetteville-Springdale-Rogers, AR;Wesley;Madison County"
"89753","zip","72769; AR; Fayetteville-Springdale-Rogers, AR; Washington County; Summers"
"89752","zip","72768;AR;Fayetteville-Springdale-Rogers, AR;Sulphur Springs;Benton County"
"89749","zip","72764;AR;Fayetteville-Springdale-Rogers, AR;Springdale;Washington County"
"89748","zip","72762;AR;Fayetteville-Springdale-Rogers, AR;Springdale;Washington County"
"89747","zip","72761;AR;Fayetteville-Springdale-Rogers, AR;Siloam Springs;Benton County"
"89746","zip","72760; AR; Fayetteville-Springdale-Rogers, AR; Madison County; Saint Paul"
"89745","zip","72758;AR;Fayetteville-Springdale-Rogers, AR;Rogers;Benton County"
"89743","zip","72756;AR;Fayetteville-Springdale-Rogers, AR;Rogers;Benton County"
"89742","zip","72753;AR;Fayetteville-Springdale-Rogers, AR;Prairie Grove;Washington County"
"89741","zip","72752; AR; Fayetteville-Springdale-Rogers, AR; Madison County; Pettigrew"
"89740","zip","72751;AR;Fayetteville-Springdale-Rogers, AR;Pea Ridge;Benton County"
"89739","zip","72749; AR; Fayetteville-Springdale-Rogers; Washington County; Morrow"
"89738","zip","72747; AR; Fayetteville-Springdale-Rogers; Benton County; Maysville"
"89737","zip","72745;AR;Fayetteville-Springdale-Rogers, AR;Lowell;Benton County"
"89736","zip","72744;AR;Fayetteville-Springdale-Rogers, AR;Lincoln;Washington County"
"89735","zip","72742; AR; Fayetteville-Springdale-Rogers, AR; Madison County; Kingston"
"89733","zip","72740;AR;Fayetteville-Springdale-Rogers, AR;Huntsville;Madison County"
"89732","zip","72739; AR; Fayetteville-Springdale-Rogers, AR; Benton County; Bella Vista"
"89731","zip","72738;AR;Fayetteville-Springdale-Rogers, AR;Hindsville;Madison County"
"89729","zip","72736;AR;Fayetteville-Springdale-Rogers, AR;Gravette;Benton County"
"89728","zip","72735; AR; Fayetteville-Springdale-Rogers; Washington County; Goshen"
"89727","zip","72734;AR;Fayetteville-Springdale-Rogers, AR;Gentry;Benton County"
"89725","zip","72732;AR;Fayetteville-Springdale-Rogers, AR;Garfield;Benton County"
"89724","zip","72730;AR;Fayetteville-Springdale-Rogers, AR;Farmington;Washington County"
"89723","zip","72729; AR; Fayetteville-Springdale-Rogers, AR; Washington County; Evansville"
"89721","zip","72727;AR;Fayetteville-Springdale-Rogers, AR;Elkins;Washington County"
"89720","zip","72722;AR;Fayetteville-Springdale-Rogers, AR;Decatur;Benton County"
"89719","zip","72721; AR; Fayetteville-Springdale-Rogers, AR; Madison County; Combs"
"89718","zip","72719;AR;Fayetteville-Springdale-Rogers, AR;Centerton;Benton County"
"89717","zip","72718;AR;Fayetteville-Springdale-Rogers, AR;Cave Springs;Benton County"
"89716","zip","72717; AR; Fayetteville-Springdale-Rogers, AR; Washington County; Canehill"
"89714","zip","72715;AR;Fayetteville-Springdale-Rogers, AR;Bella Vista;Benton County"
"89713","zip","72714;AR;Fayetteville-Springdale-Rogers, AR;Bella Vista;Benton County"
"89712","zip","72712;AR;Fayetteville-Springdale-Rogers, AR;Bentonville;Benton County"
"89710","zip","72704;AR;Fayetteville-Springdale-Rogers, AR;Fayetteville;Washington County"
"89709","zip","72703;AR;Fayetteville-Springdale-Rogers, AR;Fayetteville;Washington County"
"89707","zip","72701;AR;Fayetteville-Springdale-Rogers, AR;Fayetteville;Washington County"
"89706","zip","72687;AR;nan;Yellville;Marion County"
"89705","zip","72686; AR; Russellville, AR; Pope County; Hector"
"89704","zip","72685;AR;Harrison, AR;Western Grove;Newton County"
"89703","zip","72683; AR; Harrison, AR; Newton County; Vendor"
"89702","zip","72682; AR; Marion County"
"89701","zip","72680; AR; Stone County; Onia"
"89700","zip","72679; AR; Russellville; Pope County; Tilly"
"89699","zip","72677; AR; Marion County; Summit"
"89698","zip","72675;AR;nan;Saint Joe;Searcy County"
"89697","zip","72672; AR; Marion County; Pyatt"
"89696","zip","72670; AR; Harrison, AR; Newton County; Kingston"
"89694","zip","72668;AR;nan;Yellville;Marion County"
"89693","zip","72666; AR; Harrison, AR; Newton County; Parthenon"
"89692","zip","72663; AR; Stone County; Onia"
"89691","zip","72662;AR;Harrison, AR;Omaha;Boone County"
"89690","zip","72661;AR;nan;Oakland;Marion County"
"89689","zip","72660; AR; Carroll County; Oak Grove"
"89687","zip","72658;AR;Mountain Home, AR;Norfork;Baxter County"
"89685","zip","72655; AR; Harrison, AR; Newton County; Mount Judea"
"89683","zip","72653;AR;Mountain Home, AR;Mountain Home;Baxter County"
"89682","zip","72651;AR;Mountain Home, AR;Midway;Baxter County"
"89681","zip","72650;AR;nan;nan;Searcy County"
"89680","zip","72648; AR; Harrison, AR; Newton County; Marble Falls"
"89679","zip","72645;AR;nan;Dennard;Searcy County"
"89678","zip","72644;AR;Harrison, AR;Lead Hill;Boone County"
"89677","zip","72642;AR;Mountain Home, AR;Lakeview;Baxter County"
"89676","zip","72641;AR;Harrison, AR;Jasper;Newton County"
"89675","zip","72640; AR; Harrison, AR; Newton County; Hasty"
"89674","zip","72639; AR; Searcy County; Harriet"
"89673","zip","72638;AR;nan;Green Forest;Carroll County"
"89672","zip","72636; AR; Searcy County; Gilbert"
"89671","zip","72635;AR;Mountain Home, AR;Gassville;Baxter County"
"89670","zip","72634;AR;nan;Flippin;Marion County"
"89669","zip","72633;AR;Harrison, AR;Everton;Boone County"
"89668","zip","72632;AR;nan;Eureka Springs;Carroll County"
"89667","zip","72631;AR;nan;Eureka Springs;Carroll County"
"89666","zip","72630; AR; Harrison; Boone County; Diamond City"
"89665","zip","72629; AR; Van Buren County; Dennard"
"89664","zip","72628; AR; Harrison, AR; Newton County; Pelsor"
"89663","zip","72626;AR;nan;Cotter;Marion County"
