"region_id","region_type","region"
"95226","zip","86511; AZ; Apache County; Saint Michaels"
"95216","zip","86445; AZ; Lake Havasu City-Kingman, AZ; Mohave County"
"95215","zip","86444;AZ;Lake Havasu City-Kingman, AZ;Meadview;Mohave County"
"95213","zip","86442;AZ;Lake Havasu City-Kingman, AZ;Bullhead City;Mohave County"
"95212","zip","86441;AZ;Lake Havasu City-Kingman, AZ;Dolan Springs;Mohave County"
"95211","zip","86440;AZ;Lake Havasu City-Kingman, AZ;Mohave Valley;Mohave County"
"95209","zip","86438;AZ;Lake Havasu City-Kingman, AZ;Yucca;Mohave County"
"95208","zip","86437; AZ; Lake Havasu City-Kingman; Mohave County; Valentine"
"95207","zip","86436;AZ;Lake Havasu City-Kingman, AZ;Topock;Mohave County"
"95205","zip","86434; AZ; Lake Havasu City-Kingman; Mohave County; Kingman"
"95204","zip","86433; AZ; Lake Havasu City-Kingman, AZ; Mohave County; Oatman"
"95203","zip","86432;AZ;Lake Havasu City-Kingman, AZ;nan;Mohave County"
"95202","zip","86431; AZ; Lake Havasu City-Kingman, AZ; Mohave County; Chloride"
"95200","zip","86429;AZ;Lake Havasu City-Kingman, AZ;Bullhead City;Mohave County"
"95198","zip","86426;AZ;Lake Havasu City-Kingman, AZ;Fort Mohave;Mohave County"
"95197","zip","86413;AZ;Lake Havasu City-Kingman, AZ;Golden Valley;Mohave County"
"95195","zip","86411; AZ; Lake Havasu City-Kingman, AZ; Mohave County; Peach Springs"
"95194","zip","86409;AZ;Lake Havasu City-Kingman, AZ;Kingman;Mohave County"
"95193","zip","86406;AZ;Lake Havasu City-Kingman, AZ;Lake Havasu City;Mohave County"
"95191","zip","86404;AZ;Lake Havasu City-Kingman, AZ;Lake Havasu City;Mohave County"
"95190","zip","86403;AZ;Lake Havasu City-Kingman, AZ;Lake Havasu City;Mohave County"
"95188","zip","86401;AZ;Lake Havasu City-Kingman, AZ;Kingman;Mohave County"
"95187","zip","86351;AZ;Prescott Valley-Prescott, AZ;Sedona;Yavapai County"
"95186","zip","86343;AZ;Prescott Valley-Prescott, AZ;Mayer;Yavapai County"
"95181","zip","86338; AZ; Prescott Valley-Prescott, AZ; Yavapai County; Skull Valley"
"95180","zip","86337;AZ;Prescott Valley-Prescott, AZ;Seligman;Yavapai County"
"95179","zip","86336;AZ;Prescott Valley-Prescott, AZ;Sedona;Yavapai County"
"95178","zip","86335;AZ;Prescott Valley-Prescott, AZ;Rimrock;Yavapai County"
"95177","zip","86334;AZ;Prescott Valley-Prescott, AZ;Paulden;Yavapai County"
"95176","zip","86333;AZ;Prescott Valley-Prescott, AZ;Mayer;Yavapai County"
"95175","zip","86332;AZ;Prescott Valley-Prescott, AZ;Congress;Yavapai County"
"95174","zip","86331; AZ; Prescott Valley-Prescott, AZ; Yavapai County; Jerome"
"95172","zip","86329; AZ; Prescott; Yavapai County; Dewey-Humboldt"
"95171","zip","86327;AZ;Prescott Valley-Prescott, AZ;Prescott Valley;Yavapai County"
"95170","zip","86326;AZ;Prescott Valley-Prescott, AZ;Cottonwood;Yavapai County"
"95169","zip","86325;AZ;Prescott Valley-Prescott, AZ;Cornville;Yavapai County"
"95168","zip","86324;AZ;Prescott Valley-Prescott, AZ;Clarkdale;Yavapai County"
"95167","zip","86323;AZ;Prescott Valley-Prescott, AZ;Chino Valley;Yavapai County"
"95166","zip","86322;AZ;Prescott Valley-Prescott, AZ;Camp Verde;Yavapai County"
"95165","zip","86321; AZ; Prescott; Yavapai County; Bagdad"
"95164","zip","86320;AZ;Prescott Valley-Prescott, AZ;Ash Fork;Yavapai County"
"95163","zip","86314;AZ;Prescott Valley-Prescott, AZ;Prescott Valley;Yavapai County"
"95160","zip","86305;AZ;Prescott Valley-Prescott, AZ;Prescott;Yavapai County"
"95158","zip","86303;AZ;Prescott Valley-Prescott, AZ;Prescott;Yavapai County"
"95156","zip","86301;AZ;Prescott Valley-Prescott, AZ;Prescott;Yavapai County"
"95152","zip","86047;AZ;Show Low, AZ;Winslow;Navajo County"
"95151","zip","86046;AZ;Flagstaff, AZ;Williams;Coconino County"
"95146","zip","86040;AZ;Flagstaff, AZ;Page;Coconino County"
"95144","zip","86038;AZ;Flagstaff, AZ;Mormon Lake;Coconino County"
"95143","zip","86036; AZ; Flagstaff, AZ; Coconino County; Marble Canyon"
"95139","zip","86032; AZ; Show Low, AZ; Navajo County; Joseph City"
"95134","zip","86025;AZ;Show Low, AZ;Holbrook;Navajo County"
"95133","zip","86024;AZ;Flagstaff, AZ;Happy Jack;Coconino County"
"95132","zip","86023; AZ; Flagstaff; Coconino County; Grand Canyon"
"95131","zip","86022;AZ;Lake Havasu City-Kingman, AZ;Fredonia;Mohave County"
"95130","zip","86021;AZ;Lake Havasu City-Kingman, AZ;Colorado City;Mohave County"
"95128","zip","86018;AZ;Flagstaff, AZ;Parks;Coconino County"
"95127","zip","86017;AZ;Flagstaff, AZ;Munds Park;Coconino County"
"95125","zip","86015;AZ;Flagstaff, AZ;Parks;Coconino County"
"95123","zip","86004;AZ;Flagstaff, AZ;Flagstaff;Coconino County"
"95120","zip","86001;AZ;Flagstaff, AZ;Flagstaff;Coconino County"
"95117","zip","85940;AZ;nan;Vernon;Apache County"
"95116","zip","85939;AZ;Show Low, AZ;Taylor;Navajo County"
"95115","zip","85938;AZ;nan;Springerville;Apache County"
"95114","zip","85937;AZ;Show Low, AZ;Snowflake;Navajo County"
"95113","zip","85936;AZ;nan;Saint Johns;Apache County"
"95112","zip","85935;AZ;Show Low, AZ;Pinetop;Navajo County"
"95111","zip","85934; AZ; Show Low, AZ; Navajo County; Pinedale"
"95110","zip","85933;AZ;Show Low, AZ;Overgaard;Navajo County"
"95109","zip","85932;AZ;nan;Nutrioso;Apache County"
"95108","zip","85931;AZ;Flagstaff, AZ;Forest Lakes;Coconino County"
