"region_id","region_type","region"
"98672","zip","96161;CA;Truckee-Grass Valley, CA;Truckee;Nevada County"
"98663","zip","96150;CA;Sacramento-Roseville-Folsom, CA;South Lake Tahoe;El Dorado County"
"98662","zip","96148;CA;Sacramento-Roseville-Folsom, CA;Tahoe Vista;Placer County"
"98661","zip","96146;CA;Sacramento-Roseville-Folsom, CA;Olympic Valley;Placer County"
"98660","zip","96145;CA;Sacramento-Roseville-Folsom, CA;Tahoe City;Placer County"
"98659","zip","96143;CA;Sacramento-Roseville-Folsom, CA;Kings Beach;Placer County"
"98658","zip","96142;CA;Sacramento-Roseville-Folsom, CA;Tahoma;Placer County"
"98657","zip","96141;CA;Sacramento-Roseville-Folsom, CA;Homewood;Placer County"
"98656","zip","96140;CA;Sacramento-Roseville-Folsom, CA;Carnelian Bay;Placer County"
"98655","zip","96137;CA;nan;Westwood;Plumas County"
"98654","zip","96136; CA; Susanville; Lassen County; Wendel"
"98653","zip","96135; CA; Plumas County; Chilcoot"
"98652","zip","96134;CA;nan;nan;Modoc County"
"98651","zip","96133; CA; Mono County; Coleville"
"98650","zip","96132; CA; Susanville; Lassen County; Termo"
"98649","zip","96130;CA;Susanville, CA;Susanville;Lassen County"
"98648","zip","96129;CA;nan;Chilcoot;Plumas County"
"98647","zip","96128;CA;Susanville, CA;Standish;Lassen County"
"98646","zip","96127; CA; Susanville; Lassen County; Janesville"
"98645","zip","96126;CA;nan;Sierraville;Sierra County"
"98644","zip","96125;CA;nan;Sierra City;Sierra County"
"98643","zip","96124;CA;nan;Calpine;Sierra County"
"98642","zip","96123; CA; Susanville; Lassen County; Ravendale"
"98641","zip","96122;CA;nan;Portola;Plumas County"
"98640","zip","96121;CA;nan;nan;Plumas County"
"98639","zip","96120;CA;nan;Markleeville;Alpine County"
"98638","zip","96119; CA; Susanville; Lassen County; Madeline"
"98637","zip","96118;CA;nan;Loyalton;Sierra County"
"98636","zip","96117;CA;Susanville, CA;Susanville;Lassen County"
"98635","zip","96116; CA; Modoc County; Likely"
"98634","zip","96115; CA; Modoc County"
"98633","zip","96114;CA;Susanville, CA;Janesville;Lassen County"
"98632","zip","96113;CA;Susanville, CA;Herlong;Lassen County"
"98631","zip","96112; CA; Modoc County; Fort Bidwell"
"98630","zip","96111; CA; Truckee-Grass Valley; Nevada County; Truckee"
"98629","zip","96110; CA; Modoc County; Cedarville"
"98628","zip","96109;CA;Susanville, CA;Doyle;Lassen County"
"98627","zip","96108; CA; Modoc County; Davis Creek"
"98626","zip","96107;CA;nan;Coleville;Mono County"
"98625","zip","96106;CA;nan;Portola;Plumas County"
"98624","zip","96105;CA;nan;nan;Sierra County"
"98623","zip","96104;CA;nan;Cedarville;Modoc County"
"98622","zip","96103;CA;nan;Graeagle;Plumas County"
"98621","zip","96101;CA;nan;Alturas;Modoc County"
"98619","zip","96097;CA;nan;Yreka;Siskiyou County"
"98618","zip","96096;CA;Redding, CA;nan;Shasta County"
"98616","zip","96094;CA;nan;Weed;Siskiyou County"
"98615","zip","96093;CA;nan;Weaverville;Trinity County"
"98614","zip","96092; CA; Chico; Butte County"
"98613","zip","96091;CA;nan;Trinity Center;Trinity County"
"98612","zip","96090; CA; Red Bluff, CA; Tehama County; Tehama"
"98611","zip","96089; CA; Redding; Shasta County; Shasta Lake"
"98610","zip","96088;CA;Redding, CA;Shingletown;Shasta County"
"98609","zip","96087;CA;Redding, CA;Shasta;Shasta County"
"98608","zip","96086;CA;nan;Seiad Valley;Siskiyou County"
"98607","zip","96085; CA; Siskiyou County; Klamath River"
"98606","zip","96084;CA;Redding, CA;Round Mountain;Shasta County"
