"region_id","region_type","region"
"93847","zip","81655; CO; Edwards, CO; Eagle County; Wolcott"
"93846","zip","81654;CO;Glenwood Springs, CO;nan;Pitkin County"
"93845","zip","81653; CO; Steamboat Springs; Routt County; Slater"
"93844","zip","81652;CO;Glenwood Springs, CO;Silt;Garfield County"
"93843","zip","81650;CO;Glenwood Springs, CO;Rifle;Garfield County"
"93842","zip","81649; CO; Edwards; Eagle County; Red Cliff"
"93841","zip","81648;CO;nan;Rangely;Rio Blanco County"
"93840","zip","81647;CO;Glenwood Springs, CO;New Castle;Garfield County"
"93839","zip","81646; CO; Grand Junction, CO; Mesa County; Cedaredge"
"93838","zip","81645; CO; Edwards, CO; Eagle County; Minturn"
"93837","zip","81643;CO;Grand Junction, CO;Mesa;Mesa County"
"93836","zip","81642;CO;Glenwood Springs, CO;Meredith;Pitkin County"
"93835","zip","81641;CO;nan;Meeker;Rio Blanco County"
"93834","zip","81640; CO; Craig, CO; Moffat County; Maybell"
"93833","zip","81639;CO;Steamboat Springs, CO;Hayden;Routt County"
"93832","zip","81638; CO; Steamboat Springs, CO; Routt County; Meeker"
"93831","zip","81637;CO;Edwards, CO;Gypsum;Eagle County"
"93829","zip","81635;CO;Glenwood Springs, CO;Parachute;Garfield County"
"93827","zip","81632;CO;Edwards, CO;Edwards;Eagle County"
"93826","zip","81631;CO;Edwards, CO;Eagle;Eagle County"
"93825","zip","81630;CO;Glenwood Springs, CO;De Beque;Garfield County"
"93823","zip","81625;CO;Craig, CO;Craig;Moffat County"
"93822","zip","81624;CO;Grand Junction, CO;Collbran;Mesa County"
"93821","zip","81623;CO;Glenwood Springs, CO;Carbondale;Garfield County"
"93820","zip","81621;CO;Edwards, CO;Basalt;Eagle County"
"93819","zip","81620;CO;Edwards, CO;Avon;Eagle County"
"93818","zip","81615;CO;Glenwood Springs, CO;Snowmass Village;Pitkin County"
"93816","zip","81611;CO;Glenwood Springs, CO;Aspen;Pitkin County"
"93815","zip","81610; CO; Craig, CO; Moffat County; Dinosaur"
"93813","zip","81601;CO;Glenwood Springs, CO;Glenwood Springs;Garfield County"
"93812","zip","81527;CO;Grand Junction, CO;Whitewater;Mesa County"
"93811","zip","81526;CO;Grand Junction, CO;Palisade;Mesa County"
"93810","zip","81525;CO;Grand Junction, CO;Mack;Mesa County"
"93809","zip","81524;CO;Grand Junction, CO;Loma;Mesa County"
"93808","zip","81523;CO;Grand Junction, CO;Glade Park;Mesa County"
"93807","zip","81522; CO; Grand Junction; Mesa County; Whitewater"
"93806","zip","81521;CO;Grand Junction, CO;Fruita;Mesa County"
"93805","zip","81520;CO;Grand Junction, CO;Clifton;Mesa County"
"93804","zip","81506;CO;Grand Junction, CO;Grand Junction;Mesa County"
"93803","zip","81505;CO;Grand Junction, CO;Grand Junction;Mesa County"
"93802","zip","81504;CO;Grand Junction, CO;Grand Junction;Mesa County"
"93801","zip","81503;CO;Grand Junction, CO;Grand Junction;Mesa County"
"93799","zip","81501;CO;Grand Junction, CO;Grand Junction;Mesa County"
"93798","zip","81435;CO;nan;nan;San Miguel County"
"93797","zip","81434;CO;nan;Somerset;Gunnison County"
"93796","zip","81433;CO;nan;Silverton;San Juan County"
"93795","zip","81432;CO;Montrose, CO;Ridgway;Ouray County"
"93794","zip","81431;CO;nan;nan;San Miguel County"
"93793","zip","81430;CO;nan;Placerville;San Miguel County"
