"region_id","region_type","region"
"98956","zip","96825;HI;Urban Honolulu, HI;Honolulu;Honolulu County"
"98953","zip","96822;HI;Urban Honolulu, HI;Honolulu;Honolulu County"
"98952","zip","96821;HI;Urban Honolulu, HI;Honolulu;Honolulu County"
"98950","zip","96819;HI;Urban Honolulu, HI;Honolulu;Honolulu County"
"98949","zip","96818;HI;Urban Honolulu, HI;Honolulu;Honolulu County"
"98948","zip","96817;HI;Urban Honolulu, HI;Honolulu;Honolulu County"
"98947","zip","96816;HI;Urban Honolulu, HI;Honolulu;Honolulu County"
"98946","zip","96815;HI;Urban Honolulu, HI;Honolulu;Honolulu County"
"98945","zip","96814;HI;Urban Honolulu, HI;Honolulu;Honolulu County"
"98944","zip","96813;HI;Urban Honolulu, HI;Honolulu;Honolulu County"
"98930","zip","96797;HI;Urban Honolulu, HI;Waipahu;Honolulu County"
"98929","zip","96796;HI;Kapaa, HI;Kilauea;Kauai County"
"98928","zip","96795;HI;Urban Honolulu, HI;Waimanalo;Honolulu County"
"98927","zip","96793;HI;Kahului-Wailuku-Lahaina, HI;Wailuku;Maui County"
"98926","zip","96792;HI;Urban Honolulu, HI;Waianae;Honolulu County"
"98925","zip","96791;HI;Urban Honolulu, HI;Waialua;Honolulu County"
"98924","zip","96790;HI;Kahului-Wailuku-Lahaina, HI;Kula;Maui County"
"98923","zip","96789;HI;Urban Honolulu, HI;Mililani;Honolulu County"
"98921","zip","96786;HI;Urban Honolulu, HI;Wahiawa;Honolulu County"
"98920","zip","96785;HI;Hilo, HI;Volcano;Hawaii County"
"98918","zip","96783;HI;Hilo, HI;Pepeekeo;Hawaii County"
"98917","zip","96782;HI;Urban Honolulu, HI;Pearl City;Honolulu County"
"98916","zip","96781;HI;Hilo, HI;Papaikou;Hawaii County"
"98915","zip","96780;HI;Hilo, HI;Papaaloa;Hawaii County"
"98914","zip","96779;HI;Kahului-Wailuku-Lahaina, HI;Paia;Maui County"
"98913","zip","96778;HI;Hilo, HI;Pahoa;Hawaii County"
"98912","zip","96777;HI;Hilo, HI;Pahala;Hawaii County"
"98911","zip","96776;HI;Hilo, HI;Honokaa;Hawaii County"
"98910","zip","96774; HI; Hilo, HI; Hawaii County; Ookala"
"98909","zip","96773; HI; Hilo; Hawaii County; Ninole"
"98908","zip","96772;HI;Hilo, HI;Naalehu;Hawaii County"
"98907","zip","96771;HI;Hilo, HI;Mountain View;Hawaii County"
"98906","zip","96770;HI;Kahului-Wailuku-Lahaina, HI;nan;Maui County"
"98904","zip","96768;HI;Kahului-Wailuku-Lahaina, HI;Makawao;Maui County"
"98902","zip","96766;HI;Kapaa, HI;Lihue;Kauai County"
"98901","zip","96765;HI;Kapaa, HI;Koloa;Kauai County"
"98900","zip","96764;HI;Hilo, HI;Laupahoehoe;Hawaii County"
"98899","zip","96763;HI;Kahului-Wailuku-Lahaina, HI;Lanai City;Maui County"
"98898","zip","96762;HI;Urban Honolulu, HI;Laie;Honolulu County"
"98897","zip","96761;HI;Kahului-Wailuku-Lahaina, HI;Lahaina;Maui County"
"98896","zip","96760;HI;Hilo, HI;Kurtistown;Hawaii County"
"98894","zip","96757;HI;Kahului-Wailuku-Lahaina, HI;Kaunakakai;Maui County"
"98893","zip","96756;HI;Kapaa, HI;Koloa;Kauai County"
"98892","zip","96755;HI;Hilo, HI;Kapaau;Hawaii County"
"98891","zip","96754;HI;Kapaa, HI;Kilauea;Kauai County"
"98890","zip","96753;HI;Kahului-Wailuku-Lahaina, HI;Kihei;Maui County"
"98889","zip","96752;HI;Kapaa, HI;nan;Kauai County"
"98888","zip","96751; HI; Kapaa; Kauai County"
"98887","zip","96750;HI;Hilo, HI;Kealakekua;Hawaii County"
"98886","zip","96749;HI;Hilo, HI;Keaau;Hawaii County"
"98885","zip","96748;HI;Kahului-Wailuku-Lahaina, HI;Kaunakakai;Maui County"
"98883","zip","96746;HI;Kapaa, HI;Kapaa;Kauai County"
"98881","zip","96744;HI;Urban Honolulu, HI;Kaneohe;Honolulu County"
"98880","zip","96743;HI;Hilo, HI;Waimea;Hawaii County"
"98878","zip","96741;HI;Kapaa, HI;Kalaheo;Kauai County"
"98877","zip","96740;HI;Hilo, HI;Kailua Kona;Hawaii County"
"98875","zip","96738;HI;Hilo, HI;Waikoloa;Hawaii County"
"98874","zip","96737; HI; Hilo, HI; Hawaii County; Ocean View"
"98873","zip","96734;HI;Urban Honolulu, HI;Kailua;Honolulu County"
"98871","zip","96732;HI;Kahului-Wailuku-Lahaina, HI;Kahului;Maui County"
"98870","zip","96731;HI;Urban Honolulu, HI;Kahuku;Honolulu County"
"98869","zip","96730;HI;Urban Honolulu, HI;Kaaawa;Honolulu County"
"98868","zip","96729;HI;Kahului-Wailuku-Lahaina, HI;Hoolehua;Maui County"
"98867","zip","96728;HI;Hilo, HI;Honomu;Hawaii County"
"98866","zip","96727;HI;Hilo, HI;Honokaa;Hawaii County"
"98864","zip","96725;HI;Hilo, HI;Holualoa;Hawaii County"
"98863","zip","96722;HI;Kapaa, HI;Princeville;Kauai County"
"98861","zip","96720;HI;Hilo, HI;Hilo;Hawaii County"
"98860","zip","96719;HI;Hilo, HI;Kapaau;Hawaii County"
"98859","zip","96718; HI; Hilo; Hawaii County; Volcano"
"98858","zip","96717;HI;Urban Honolulu, HI;Hauula;Honolulu County"
"98857","zip","96716;HI;Kapaa, HI;Hanapepe;Kauai County"
"98855","zip","96714;HI;Kapaa, HI;Hanalei;Kauai County"
"98854","zip","96713;HI;Kahului-Wailuku-Lahaina, HI;Hana;Maui County"
"98853","zip","96712;HI;Urban Honolulu, HI;Haleiwa;Honolulu County"
"98852","zip","96710;HI;Hilo, HI;Honomu;Hawaii County"
"98850","zip","96708;HI;Kahului-Wailuku-Lahaina, HI;Haiku;Maui County"
"98849","zip","96707;HI;Urban Honolulu, HI;Kapolei;Honolulu County"
"98848","zip","96706;HI;Urban Honolulu, HI;Ewa Beach;Honolulu County"
"98847","zip","96705;HI;Kapaa, HI;Eleele;Kauai County"
"98846","zip","96704;HI;Hilo, HI;Captain Cook;Hawaii County"
"98845","zip","96703;HI;Kapaa, HI;Kilauea;Kauai County"
"98844","zip","96701;HI;Urban Honolulu, HI;Aiea;Honolulu County"
