"region_id","region_type","region"
"94369","zip","83874; ID; Shoshone County; Wallace"
"94368","zip","83873;ID;nan;Silverton;Shoshone County"
"94367","zip","83872;ID;Moscow, ID;Viola;Latah County"
"94366","zip","83871;ID;Moscow, ID;Troy;Latah County"
"94365","zip","83870; ID; Benewah County; Tensed"
"94364","zip","83869;ID;Coeur d'Alene, ID;Spirit Lake;Kootenai County"
"94363","zip","83868;ID;nan;Kellogg;Shoshone County"
"94362","zip","83867;ID;nan;Osburn;Shoshone County"
"94361","zip","83866; ID; Benewah County"
"94359","zip","83864;ID;Sandpoint, ID;Kootenai;Bonner County"
"94358","zip","83861;ID;nan;Saint Maries;Benewah County"
"94357","zip","83860;ID;Sandpoint, ID;Sagle;Bonner County"
"94356","zip","83858;ID;Coeur d'Alene, ID;Rathdrum;Kootenai County"
"94355","zip","83857;ID;Moscow, ID;Princeton;Latah County"
"94354","zip","83856;ID;Sandpoint, ID;Priest River;Bonner County"
"94353","zip","83855;ID;Moscow, ID;nan;Latah County"
"94352","zip","83854;ID;Coeur d'Alene, ID;Post Falls;Kootenai County"
"94350","zip","83852;ID;Sandpoint, ID;Sandpoint;Bonner County"
"94349","zip","83851;ID;nan;Plummer;Benewah County"
"94348","zip","83850;ID;nan;Pinehurst;Shoshone County"
"94347","zip","83849;ID;nan;Osburn;Shoshone County"
"94346","zip","83848;ID;Sandpoint, ID;Nordman;Bonner County"
"94345","zip","83847;ID;nan;Bonners Ferry;Boundary County"
"94344","zip","83846;ID;nan;Mullan;Shoshone County"
"94343","zip","83845;ID;nan;Moyie Springs;Boundary County"
"94341","zip","83843;ID;Moscow, ID;Moscow;Latah County"
"94340","zip","83842; ID; Coeur d'Alene; Kootenai County; Medimont"
"94339","zip","83841;ID;Sandpoint, ID;Laclede;Bonner County"
"94338","zip","83840;ID;Sandpoint, ID;Kootenai;Bonner County"
"94337","zip","83839;ID;nan;Kingston;Shoshone County"
"94336","zip","83837;ID;nan;nan;Shoshone County"
"94335","zip","83836;ID;Sandpoint, ID;Hope;Bonner County"
