"region_id","region_type","region"
"87792","zip","67952;KS;nan;Moscow;Stevens County"
"87791","zip","67951;KS;nan;Hugoton;Stevens County"
"87790","zip","67950;KS;nan;Elkhart;Morton County"
"87788","zip","67901;KS;Liberal, KS;Liberal;Seward County"
"87787","zip","67882;KS;Dodge City, KS;Wright;Ford County"
"87786","zip","67880;KS;nan;Ulysses;Grant County"
"87785","zip","67879;KS;nan;nan;Greeley County"
"87784","zip","67878;KS;nan;Syracuse;Hamilton County"
"87783","zip","67877;KS;nan;Sublette;Haskell County"
"87782","zip","67876;KS;Dodge City, KS;Spearville;Ford County"
"87781","zip","67871;KS;nan;Scott City;Scott County"
"87780","zip","67870;KS;nan;Satanta;Haskell County"
"87779","zip","67869;KS;nan;Plains;Meade County"
"87778","zip","67868; KS; Garden City; Finney County; Pierceville"
"87777","zip","67867;KS;nan;Montezuma;Gray County"
"87776","zip","67865;KS;nan;Ford;Clark County"
"87775","zip","67864;KS;nan;Meade;Meade County"
"87774","zip","67863; KS; Wichita County; Marienthal"
"87773","zip","67862; KS; Stanton County; Manter"
"87772","zip","67861;KS;nan;Leoti;Wichita County"
"87771","zip","67860;KS;Garden City, KS;Lakin;Kearny County"
"87770","zip","67859;KS;Liberal, KS;Kismet;Seward County"
"87769","zip","67857; KS; Hamilton County; Kendall"
"87768","zip","67855;KS;nan;Johnson;Stanton County"
"87767","zip","67854;KS;nan;Jetmore;Hodgeman County"
"87766","zip","67853;KS;nan;Ingalls;Gray County"
"87765","zip","67851;KS;Garden City, KS;Holcomb;Finney County"
"87764","zip","67850;KS;nan;Healy;Lane County"
"87763","zip","67849;KS;nan;Hanston;Hodgeman County"
"87762","zip","67846;KS;Garden City, KS;Garden City;Finney County"
"87761","zip","67844;KS;nan;Fowler;Meade County"
"87759","zip","67842;KS;Dodge City, KS;Ford;Ford County"
"87758","zip","67841;KS;nan;Ensign;Gray County"
"87757","zip","67840; KS; Clark County; Englewood"
"87756","zip","67839;KS;nan;Dighton;Lane County"
"87755","zip","67838;KS;Garden City, KS;Lakin;Kearny County"
"87754","zip","67837;KS;nan;Sublette;Haskell County"
"87752","zip","67835;KS;nan;Cimarron;Gray County"
"87751","zip","67834;KS;Dodge City, KS;Bucklin;Ford County"
"87750","zip","67831;KS;nan;Ashland;Clark County"
"87749","zip","67801;KS;Dodge City, KS;Dodge City;Ford County"
"87748","zip","67764;KS;nan;nan;Logan County"
"87747","zip","67762;KS;nan;Weskan;Wallace County"
"87746","zip","67761; KS; Wallace County; Wallace"
"87745","zip","67758;KS;nan;Sharon Springs;Wallace County"
"87744","zip","67757;KS;nan;Selden;Decatur County"
"87743","zip","67756;KS;nan;Saint Francis;Cheyenne County"
"87742","zip","67753;KS;nan;nan;Thomas County"
"87741","zip","67752;KS;nan;Quinter;Gove County"
"87740","zip","67751;KS;nan;Park;Gove County"
"87739","zip","67749;KS;nan;Oberlin;Decatur County"
"87738","zip","67748;KS;nan;Oakley;Logan County"
"87736","zip","67745;KS;nan;McDonald;Rawlins County"
"87734","zip","67743; KS; Thomas County; Levant"
"87733","zip","67741; KS; Sherman County; Kanorado"
"87732","zip","67740;KS;nan;Hoxie;Sheridan County"
"87731","zip","67739;KS;nan;Herndon;Rawlins County"
"87730","zip","67738;KS;nan;Grinnell;Gove County"
"87729","zip","67737;KS;nan;Grainfield;Gove County"
"87728","zip","67736; KS; Gove County; Gove"
"87727","zip","67735;KS;nan;Goodland;Sherman County"
"87726","zip","67734; KS; Thomas County; Gem"
"87725","zip","67733; KS; Sherman County; Goodland"
"87724","zip","67732;KS;nan;Brewster;Thomas County"
"87723","zip","67731;KS;nan;Bird City;Cheyenne County"
"87722","zip","67730;KS;nan;Atwood;Rawlins County"
"87721","zip","67701;KS;nan;Colby;Thomas County"
"87720","zip","67675; KS; Rooks County; Woodston"
"87719","zip","67674; KS; Hays; Ellis County; Walker"
"87717","zip","67672;KS;nan;WaKeeney;Trego County"
"87716","zip","67671;KS;Hays, KS;Victoria;Ellis County"
"87715","zip","67669;KS;nan;Stockton;Rooks County"
"87714","zip","67667; KS; Hays, KS; Ellis County; Schoenchen"
"87713","zip","67665;KS;nan;Russell;Russell County"
"87712","zip","67664;KS;nan;Prairie View;Phillips County"
"87711","zip","67663;KS;nan;nan;Rooks County"
"87710","zip","67661;KS;nan;nan;Phillips County"
"87709","zip","67660; KS; Hays; Ellis County; Pfeifer"
"87707","zip","67658; KS; Russell County; Paradise"
"87706","zip","67657;KS;nan;Palco;Graham County"
"87705","zip","67656;KS;nan;Ogallah;Trego County"
"87704","zip","67654;KS;nan;Norton;Norton County"
"87703","zip","67653;KS;nan;Norcatur;Decatur County"
"87702","zip","67651;KS;nan;Natoma;Osborne County"
"87701","zip","67650;KS;nan;Morland;Graham County"
"87700","zip","67649; KS; Russell County; Luray"
"87699","zip","67648;KS;nan;Lucas;Russell County"
"87698","zip","67647; KS; Phillips County; Prairie View"
"87697","zip","67646;KS;nan;Logan;Phillips County"
"87696","zip","67645;KS;nan;nan;Norton County"
"87695","zip","67644; KS; Phillips County; Kirwin"
"87694","zip","67643; KS; Decatur County; Jennings"
"87693","zip","67642;KS;nan;Hill City;Graham County"
"87692","zip","67640;KS;Hays, KS;Gorham;Ellis County"
"87691","zip","67639; KS; Phillips County; Glade"
"87690","zip","67638; KS; Smith County; Gaylord"
"87689","zip","67637;KS;Hays, KS;Ellis;Ellis County"
