"region_id","region_type","region"
"89127","zip","71485;LA;Alexandria, LA;Woodworth;Rapides Parish"
"89126","zip","71483;LA;nan;Winnfield;Winn Parish"
"89124","zip","71479;LA;nan;Tullos;LaSalle Parish"
"89121","zip","71474; LA; Fort Polk South; Vernon Parish; Leesville"
"89120","zip","71473; LA; Winn Parish; Dodson"
"89119","zip","71472; LA; Alexandria, LA; Rapides Parish; Sieper"
"89117","zip","71469; LA; Natchitoches, LA; Natchitoches Parish; Robeline"
"89116","zip","71468; LA; Natchitoches; Natchitoches Parish; Provencal"
"89115","zip","71467;LA;Alexandria, LA;Pollock;Grant Parish"
"89114","zip","71466; LA; Alexandria, LA; Rapides Parish; Otis"
"89113","zip","71465;LA;nan;Olla;LaSalle Parish"
"89112","zip","71463;LA;nan;Oakdale;Allen Parish"
"89111","zip","71462; LA; Sabine Parish; Noble"
"89110","zip","71461;LA;Fort Polk South, LA;New Llano;Vernon Parish"
"89106","zip","71457;LA;Natchitoches, LA;Natchitoches;Natchitoches Parish"
"89105","zip","71456; LA; Natchitoches; Natchitoches Parish; Natchez"
"89104","zip","71455; LA; Alexandria; Rapides Parish; Mora"
"89103","zip","71454;LA;Alexandria, LA;Montgomery;Grant Parish"
"89101","zip","71450; LA; Natchitoches, LA; Natchitoches Parish; Marthaville"
"89100","zip","71449;LA;nan;Many;Sabine Parish"
"89098","zip","71447; LA; Alexandria, LA; Rapides Parish; Lena"
"89097","zip","71446;LA;Fort Polk South, LA;Leesville;Vernon Parish"
"89095","zip","71441;LA;nan;Kelly;Caldwell Parish"
"89093","zip","71439;LA;Fort Polk South, LA;Hornbeck;Vernon Parish"
"89092","zip","71438;LA;Alexandria, LA;Hineston;Rapides Parish"
"89091","zip","71435;LA;nan;Grayson;Caldwell Parish"
"89089","zip","71433;LA;Alexandria, LA;Glenmora;Rapides Parish"
"89088","zip","71432; LA; Alexandria, LA; Grant Parish; Georgetown"
"89086","zip","71430;LA;Alexandria, LA;Forest Hill;Rapides Parish"
"89085","zip","71429;LA;nan;Florien;Sabine Parish"
"89083","zip","71427; LA; Alexandria; Rapides Parish; Flatwoods"
"89082","zip","71426; LA; Sabine Parish; Fisher"
