"region_id","region_type","region"
"87021","zip","65809;MO;Springfield, MO;Springfield;Greene County"
"87019","zip","65807;MO;Springfield, MO;Springfield;Greene County"
"87018","zip","65806;MO;Springfield, MO;Springfield;Greene County"
"87016","zip","65804;MO;Springfield, MO;Springfield;Greene County"
"87015","zip","65803;MO;Springfield, MO;Springfield;Greene County"
"87014","zip","65802;MO;Springfield, MO;Springfield;Greene County"
"87013","zip","65801; MO; Springfield; Greene County"
"87012","zip","65793;MO;West Plains, MO;Willow Springs;Howell County"
"87011","zip","65791;MO;nan;Thayer;Oregon County"
"87010","zip","65790;MO;West Plains, MO;Pottersville;Howell County"
"87009","zip","65789;MO;West Plains, MO;Pomona;Howell County"
"87008","zip","65788; MO; West Plains; Howell County; Peace Valley"
"87007","zip","65787;MO;nan;Roach;Camden County"
"87006","zip","65786;MO;nan;Macks Creek;Camden County"
"87005","zip","65785;MO;nan;Stockton;Cedar County"
"87004","zip","65784; MO; Ozark County; Zanoni"
"87003","zip","65783; MO; Springfield, MO; Dallas County; Windyville"
"87002","zip","65781;MO;Springfield, MO;Willard;Greene County"
"87001","zip","65779;MO;nan;nan;Hickory County"
"87000","zip","65778;MO;nan;Myrtle;Oregon County"
