"region_id","region_type","region"
"88409","zip","69361;NE;Scottsbluff, NE;Scottsbluff;Scotts Bluff County"
"88408","zip","69360;NE;nan;Rushville;Sheridan County"
"88407","zip","69358;NE;Scottsbluff, NE;Morrill;Scotts Bluff County"
"88406","zip","69357;NE;Scottsbluff, NE;Mitchell;Scotts Bluff County"
"88405","zip","69356;NE;Scottsbluff, NE;Minatare;Scotts Bluff County"
"88404","zip","69355; NE; Scottsbluff; Scotts Bluff County; Gering"
"88403","zip","69354; NE; Dawes County; Marsland"
"88401","zip","69352;NE;Scottsbluff, NE;Lyman;Scotts Bluff County"
"88399","zip","69350;NE;nan;Hyannis;Grant County"
"88398","zip","69348;NE;nan;Hemingford;Box Butte County"
"88397","zip","69347;NE;nan;Hay Springs;Sheridan County"
"88396","zip","69346;NE;Scottsbluff, NE;Harrison;Sioux County"
"88395","zip","69345;NE;Scottsbluff, NE;Harrisburg;Banner County"
"88394","zip","69343;NE;nan;nan;Sheridan County"
"88393","zip","69341;NE;Scottsbluff, NE;Gering;Scotts Bluff County"
"88391","zip","69339;NE;nan;Crawford;Dawes County"
"88390","zip","69337;NE;nan;Chadron;Dawes County"
"88389","zip","69336;NE;nan;Bridgeport;Morrill County"
"88387","zip","69334;NE;nan;Bayard;Morrill County"
"88385","zip","69331; NE; Morrill County; Angora"
"88384","zip","69301;NE;nan;Alliance;Box Butte County"
"88380","zip","69218; NE; Cherry County; Cody"
"88379","zip","69217;NE;nan;Ainsworth;Brown County"
"88377","zip","69214; NE; Brown County; Ainsworth"
"88375","zip","69211;NE;nan;Cody;Cherry County"
"88374","zip","69210;NE;nan;Ainsworth;Brown County"
"88373","zip","69201;NE;nan;Valentine;Cherry County"
"88371","zip","69171; NE; Lexington; Dawson County; Cozad"
"88370","zip","69170; NE; North Platte, NE; Lincoln County; Wellfleet"
"88369","zip","69169;NE;North Platte, NE;nan;Lincoln County"
"88368","zip","69168;NE;nan;Venango;Perkins County"
"88366","zip","69166;NE;nan;Thedford;Thomas County"
"88365","zip","69165;NE;North Platte, NE;Sutherland;Lincoln County"
