"region_id","region_type","region"
"95658","zip","88434; NM; Quay County; San Jon"
"95653","zip","88426;NM;nan;Tucumcari;Quay County"
"95651","zip","88422; NM; Union County; Grenville"
"95646","zip","88416; NM; Las Vegas, NM; San Miguel County"
"95645","zip","88415;NM;nan;Clayton;Union County"
"95641","zip","88401;NM;nan;Tucumcari;Quay County"
"95640","zip","88355; NM; Ruidoso; Lincoln County"
"95639","zip","88354; NM; Alamogordo; Otero County; Weed"
"95637","zip","88352;NM;Alamogordo, NM;Tularosa;Otero County"
"95636","zip","88351; NM; Ruidoso; Lincoln County; Tinnie"
"95635","zip","88350; NM; Alamogordo, NM; Otero County; Timberon"
"95633","zip","88348; NM; Ruidoso, NM; Lincoln County; San Patricio"
"95632","zip","88347;NM;Alamogordo, NM;Sacramento;Otero County"
"95631","zip","88346;NM;Ruidoso, NM;Ruidoso Downs;Lincoln County"
"95630","zip","88345;NM;Ruidoso, NM;Ruidoso;Lincoln County"
"95629","zip","88344; NM; Roswell, NM; Chaves County; Pinon"
"95626","zip","88341;NM;Ruidoso, NM;Carrizozo;Lincoln County"
"95624","zip","88339;NM;Alamogordo, NM;Mayhill;Otero County"
"95623","zip","88338; NM; Ruidoso; Lincoln County; Capitan"
"95622","zip","88337;NM;Alamogordo, NM;La Luz;Otero County"
"95621","zip","88336; NM; Ruidoso; Lincoln County; Hondo"
"95619","zip","88325;NM;Alamogordo, NM;Alamogordo;Otero County"
"95615","zip","88318; NM; Ruidoso, NM; Lincoln County; Corona"
"95614","zip","88317;NM;Alamogordo, NM;Cloudcroft;Otero County"
"95613","zip","88316;NM;Ruidoso, NM;Capitan;Lincoln County"
"95612","zip","88314; NM; Alamogordo; Otero County; Bent"
"95611","zip","88312;NM;Ruidoso, NM;Alto;Lincoln County"
"95610","zip","88311; NM; Alamogordo; Otero County"
"95609","zip","88310;NM;Alamogordo, NM;Alamogordo;Otero County"
"95608","zip","88301;NM;Ruidoso, NM;Carrizozo;Lincoln County"
"95606","zip","88267;NM;Hobbs, NM;Tatum;Lea County"
"95601","zip","88260;NM;Hobbs, NM;Lovington;Lea County"
"95597","zip","88253; NM; Roswell, NM; Chaves County; Hagerman"
"95596","zip","88252;NM;Hobbs, NM;Jal;Lea County"
"95595","zip","88250; NM; Carlsbad-Artesia; Eddy County; Hope"
"95593","zip","88242;NM;Hobbs, NM;Hobbs;Lea County"
"95591","zip","88240;NM;Hobbs, NM;Hobbs;Lea County"
"95590","zip","88232; NM; Roswell, NM; Chaves County; Hagerman"
"95589","zip","88231;NM;Hobbs, NM;Eunice;Lea County"
"95588","zip","88230;NM;Roswell, NM;Dexter;Chaves County"
