"region_id","region_type","region"
"95883","zip","89403;NV;Fernley, NV;Dayton;Lyon County"
"95980","zip","89835;NV;Elko, NV;nan;Elko County"
"95979","zip","89834; NV; Elko; Elko County; Tuscarora"
"95978","zip","89833; NV; Elko; Elko County; Ruby Valley"
"95976","zip","89831; NV; Elko; Elko County; Mountain City"
"95975","zip","89830; NV; Elko; Elko County; Montello"
"95974","zip","89828; NV; Elko, NV; Elko County; Lamoille"
"95973","zip","89826; NV; Elko; Elko County; Jarbidge"
"95972","zip","89825; NV; Elko; Elko County; Jackpot"
"95970","zip","89823; NV; Elko; Elko County; Halleck"
"95969","zip","89822;NV;Elko, NV;Carlin;Elko County"
"95968","zip","89821; NV; Elko, NV; Eureka County; Crescent Valley"
"95967","zip","89820;NV;nan;Battle Mountain;Lander County"
"95966","zip","89815;NV;Elko, NV;Spring Creek;Elko County"
"95963","zip","89801;NV;Elko, NV;Elko;Elko County"
"95957","zip","89706;NV;Carson City, NV;Carson City;Carson City"
"95956","zip","89705;NV;Gardnerville Ranchos, NV;Carson City;Douglas County"
"95955","zip","89704;NV;Reno, NV;nan;Washoe County"
"95954","zip","89703;NV;Carson City, NV;Carson City;Carson City"
"95952","zip","89701;NV;Carson City, NV;Carson City;Carson City"
"95945","zip","89523;NV;Reno, NV;Reno;Washoe County"
"95944","zip","89521;NV;Reno, NV;Reno;Washoe County"
"95940","zip","89512;NV;Reno, NV;Reno;Washoe County"
"95939","zip","89511;NV;Reno, NV;Reno;Washoe County"
"95938","zip","89510;NV;Reno, NV;Nixon;Washoe County"
"95937","zip","89509;NV;Reno, NV;Reno;Washoe County"
"95935","zip","89506;NV;Reno, NV;Reno;Washoe County"
"95932","zip","89503;NV;Reno, NV;Reno;Washoe County"
"95931","zip","89502;NV;Reno, NV;Reno;Washoe County"
"95930","zip","89501;NV;Reno, NV;Reno;Washoe County"
"95928","zip","89460;NV;Gardnerville Ranchos, NV;Gardnerville;Douglas County"
"95926","zip","89451;NV;Reno, NV;Incline Village;Washoe County"
"95924","zip","89449;NV;Gardnerville Ranchos, NV;Stateline;Douglas County"
"95923","zip","89448;NV;Gardnerville Ranchos, NV;Zephyr Cove;Douglas County"
"95922","zip","89447;NV;Fernley, NV;Yerington;Lyon County"
"95920","zip","89445;NV;nan;Winnemucca;Pershing County"
"95919","zip","89444;NV;Gardnerville Ranchos, NV;Wellington;Douglas County"
"95918","zip","89442;NV;Reno, NV;Wadsworth;Washoe County"
"95917","zip","89440;NV;Reno, NV;Virginia City;Storey County"
"95916","zip","89439;NV;Reno, NV;Verdi;Washoe County"
"95914","zip","89436;NV;Reno, NV;Sparks;Washoe County"
"95912","zip","89434;NV;Reno, NV;Sparks;Washoe County"
"95911","zip","89433;NV;Reno, NV;Sun Valley;Washoe County"
"95909","zip","89431;NV;Reno, NV;Sparks;Washoe County"
"95908","zip","89430;NV;Fernley, NV;Smith;Lyon County"
"95907","zip","89429;NV;Fernley, NV;Silver Springs;Lyon County"
"95906","zip","89428;NV;Fernley, NV;Silver City;Lyon County"
"95904","zip","89426; NV; Winnemucca; Humboldt County; Paradise Valley"
"95903","zip","89425; NV; Winnemucca; Humboldt County; Orovada"
"95901","zip","89423;NV;Gardnerville Ranchos, NV;Minden;Douglas County"
"95900","zip","89422; NV; Mineral County"
"95899","zip","89421; NV; Winnemucca; Humboldt County; McDermitt"
"95898","zip","89420; NV; Mineral County; Luning"
"95897","zip","89419;NV;nan;Lovelock;Pershing County"
"95896","zip","89418; NV; Pershing County; Imlay"
"95895","zip","89415;NV;nan;Hawthorne;Mineral County"
"95894","zip","89414; NV; Winnemucca; Humboldt County; Golconda"
"95893","zip","89413;NV;Gardnerville Ranchos, NV;Glenbrook;Douglas County"
"95892","zip","89412; NV; Reno; Washoe County; Gerlach"
"95891","zip","89411;NV;Gardnerville Ranchos, NV;Genoa;Douglas County"
"95890","zip","89410;NV;Gardnerville Ranchos, NV;Gardnerville;Douglas County"
"95889","zip","89409; NV; Pahrump; Nye County; Gabbs"
"95888","zip","89408;NV;Fernley, NV;Fernley;Lyon County"
"95886","zip","89406;NV;Fallon, NV;Fallon;Churchill County"
"95885","zip","89405; NV; Reno; Washoe County; Gerlach"
"95884","zip","89404; NV; Winnemucca; Humboldt County; Denio"
"95882","zip","89402;NV;Reno, NV;Incline Village;Washoe County"
"95881","zip","89319; NV; White Pine County; Ruth"
"95880","zip","89318;NV;nan;McGill;White Pine County"
"95879","zip","89317; NV; White Pine County"
"95878","zip","89316;NV;nan;nan;White Pine County"
"95875","zip","89311; NV; White Pine County; Ely"
"95874","zip","89310;NV;nan;Austin;Lander County"
"95873","zip","89301;NV;nan;Ely;White Pine County"
"95866","zip","89179;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95865","zip","89178;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95861","zip","89166;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95856","zip","89161;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95852","zip","89156;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95851","zip","89155;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95845","zip","89149;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95844","zip","89148;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95843","zip","89147;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95842","zip","89146;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95841","zip","89145;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95840","zip","89144;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95839","zip","89143;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95838","zip","89142;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95837","zip","89141;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95835","zip","89139;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95834","zip","89138;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95831","zip","89135;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95830","zip","89134;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95827","zip","89131;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95826","zip","89130;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95825","zip","89129;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95824","zip","89128;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95820","zip","89124;NV;Las Vegas-Henderson-Paradise, NV;nan;Clark County"
"95819","zip","89123;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95818","zip","89122;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95817","zip","89121;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95816","zip","89120;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95815","zip","89119;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95814","zip","89118;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95813","zip","89117;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95811","zip","89115;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95809","zip","89113;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95806","zip","89110;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95805","zip","89109;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95804","zip","89108;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95803","zip","89107;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95802","zip","89106;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95800","zip","89104;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95799","zip","89103;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95798","zip","89102;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95797","zip","89101;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County"
"95795","zip","89086;NV;Las Vegas-Henderson-Paradise, NV;North Las Vegas;Clark County"
"95794","zip","89085;NV;Las Vegas-Henderson-Paradise, NV;North Las Vegas;Clark County"
"95793","zip","89084;NV;Las Vegas-Henderson-Paradise, NV;North Las Vegas;Clark County"
