"region_id","region_type","region"
"90609","zip","74965;OK;nan;Westville;Adair County"
"90608","zip","74964;OK;nan;Watts;Adair County"
"90607","zip","74963; OK; McCurtain County; Watson"
"90606","zip","74962;OK;Fort Smith, AR-OK;Vian;Sequoyah County"
"90605","zip","74960;OK;nan;Stilwell;Adair County"
"90604","zip","74959;OK;nan;nan;Le Flore County"
"90603","zip","74957;OK;nan;nan;McCurtain County"
"90602","zip","74956;OK;nan;nan;Le Flore County"
"90601","zip","74955;OK;Fort Smith, AR-OK;Sallisaw;Sequoyah County"
"90600","zip","74954;OK;Fort Smith, AR-OK;Roland;Sequoyah County"
"90599","zip","74953;OK;nan;Poteau;Le Flore County"
"90598","zip","74951;OK;nan;Panama;Le Flore County"
"90597","zip","74949; OK; LeFlore County; Muse"
"90596","zip","74948;OK;Fort Smith, AR-OK;Muldrow;Sequoyah County"
"90595","zip","74947; OK; Fort Smith; LeFlore County; Monroe"
"90593","zip","74945; OK; Tahlequah; Cherokee County; Cookson"
"90592","zip","74944;OK;nan;McCurtain;Haskell County"
"90590","zip","74942; OK; Fort Smith; LeFlore County; Leflore"
"90589","zip","74941;OK;nan;nan;Haskell County"
"90588","zip","74940;OK;nan;Howe;Le Flore County"
"90587","zip","74939;OK;nan;Hodgen;Le Flore County"
"90586","zip","74937;OK;nan;Heavener;Le Flore County"
"90585","zip","74936;OK;Fort Smith, AR-OK;Sallisaw;Sequoyah County"
"90584","zip","74935; OK; Fort Smith; LeFlore County; Fanshawe"
"90583","zip","74932;OK;nan;Cameron;Le Flore County"
"90582","zip","74931;OK;nan;Bunch;Adair County"
"90581","zip","74930;OK;nan;Bokoshe;Le Flore County"
"90580","zip","74902;OK;nan;Pocola;Le Flore County"
"90579","zip","74901;OK;nan;nan;Le Flore County"
"90578","zip","74884;OK;nan;Wewoka;Seminole County"
"90577","zip","74883;OK;nan;nan;Hughes County"
"90576","zip","74881;OK;Oklahoma City, OK;Wellston;Lincoln County"
"90575","zip","74880;OK;nan;Henryetta;Okfuskee County"
"90574","zip","74878;OK;Shawnee, OK;Wanette;Pottawatomie County"
"90573","zip","74875;OK;Oklahoma City, OK;Perkins;Lincoln County"
