"region_id","region_type","region"
"99487","zip","97918;OR;Ontario, OR-ID;Vale;Malheur County"
"99485","zip","97914;OR;Ontario, OR-ID;Ontario;Malheur County"
"99484","zip","97913;OR;Ontario, OR-ID;Nyssa;Malheur County"
"99483","zip","97911; OR; Ontario; Malheur County; Juntura"
"99482","zip","97910; OR; Ontario, OR-ID; Malheur County; Jordan Valley"
"99481","zip","97909; OR; Ontario; Malheur County; Vale"
"99480","zip","97908; OR; Ontario; Malheur County; Ironside"
"99479","zip","97907;OR;nan;Huntington;Baker County"
"99478","zip","97906; OR; Ontario; Malheur County; Harper"
"99477","zip","97905; OR; Baker County; Durkee"
"99476","zip","97904; OR; Harney County; Drewsey"
"99475","zip","97903; OR; Ontario; Malheur County; Brogan"
"99474","zip","97902; OR; Ontario; Malheur County; Jordan Valley"
"99473","zip","97901;OR;Ontario, OR-ID;Adrian;Malheur County"
"99472","zip","97886;OR;Hermiston-Pendleton, OR;Weston;Umatilla County"
"99471","zip","97885;OR;nan;Enterprise;Wallowa County"
"99470","zip","97884; OR; Baker County; Unity"
"99469","zip","97883;OR;La Grande, OR;Union;Union County"
"99468","zip","97882;OR;Hermiston-Pendleton, OR;Umatilla;Umatilla County"
"99467","zip","97880; OR; Hermiston-Pendleton, OR; Umatilla County; Pilot Rock"
"99466","zip","97877;OR;nan;nan;Grant County"
"99465","zip","97876;OR;La Grande, OR;Summerville;Union County"
"99464","zip","97875;OR;Hermiston-Pendleton, OR;Stanfield;Umatilla County"
"99463","zip","97874;OR;nan;Spray;Wheeler County"
"99462","zip","97873; OR; Grant County"
"99461","zip","97870;OR;nan;Richland;Baker County"
"99460","zip","97869;OR;nan;Prairie City;Grant County"
"99459","zip","97868;OR;Hermiston-Pendleton, OR;Pilot Rock;Umatilla County"
"99458","zip","97867;OR;La Grande, OR;North Powder;Union County"
"99457","zip","97865;OR;nan;Mount Vernon;Grant County"
"99456","zip","97864; OR; Grant County; Mount Vernon"
"99455","zip","97862;OR;Hermiston-Pendleton, OR;Milton Freewater;Umatilla County"
"99453","zip","97859; OR; Hermiston-Pendleton, OR; Umatilla County; Pilot Rock"
"99452","zip","97857;OR;nan;Lostine;Wallowa County"
"99450","zip","97850;OR;La Grande, OR;La Grande;Union County"
"99449","zip","97848; OR; Grant County; Kimberly"
"99448","zip","97846;OR;nan;Joseph;Wallowa County"
"99447","zip","97845;OR;nan;John Day;Grant County"
"99446","zip","97844;OR;Hermiston-Pendleton, OR;Irrigon;Morrow County"
"99445","zip","97843; OR; Hermiston-Pendleton, OR; Morrow County; Ione"
"99444","zip","97842;OR;nan;Imnaha;Wallowa County"
"99443","zip","97841; OR; La Grande, OR; Union County; Imbler"
"99442","zip","97840; OR; Baker County; Halfway"
"99441","zip","97839; OR; Hermiston-Pendleton; Morrow County; Lexington"
"99440","zip","97838;OR;Hermiston-Pendleton, OR;Hermiston;Umatilla County"
"99439","zip","97837; OR; Baker County; Hereford"
"99438","zip","97836;OR;Hermiston-Pendleton, OR;Heppner;Morrow County"
"99437","zip","97835; OR; Hermiston-Pendleton, OR; Umatilla County; Pendleton"
"99436","zip","97834;OR;nan;Halfway;Baker County"
"99435","zip","97833; OR; Baker County; Haines"
"99434","zip","97830;OR;nan;Fossil;Wheeler County"
"99433","zip","97828;OR;nan;Enterprise;Wallowa County"
"99432","zip","97827;OR;La Grande, OR;Elgin;Union County"
"99431","zip","97826;OR;Hermiston-Pendleton, OR;Echo;Umatilla County"
"99430","zip","97825; OR; Grant County; Mount Vernon"
"99429","zip","97824;OR;La Grande, OR;Cove;Union County"
"99428","zip","97823;OR;nan;nan;Gilliam County"
"99427","zip","97820;OR;nan;Mount Vernon;Grant County"
"99426","zip","97819; OR; Baker County; Bridgeport"
"99425","zip","97818;OR;Hermiston-Pendleton, OR;Boardman;Morrow County"
"99423","zip","97814;OR;nan;Baker City;Baker County"
"99422","zip","97813;OR;Hermiston-Pendleton, OR;Milton Freewater;Umatilla County"
"99421","zip","97812;OR;nan;Arlington;Gilliam County"
"99420","zip","97810;OR;Hermiston-Pendleton, OR;Adams;Umatilla County"
"99419","zip","97801;OR;Hermiston-Pendleton, OR;Pendleton;Umatilla County"
"99417","zip","97760;OR;nan;Terrebonne;Jefferson County"
"99416","zip","97759;OR;Bend, OR;Sisters;Deschutes County"
"99414","zip","97756;OR;Bend, OR;Redmond;Deschutes County"
"99413","zip","97754;OR;Prineville, OR;Prineville;Crook County"
