"region_id","region_type","region"
"93144","zip","79936;TX;El Paso, TX;El Paso;El Paso County"
"93143","zip","79935;TX;El Paso, TX;El Paso;El Paso County"
"93142","zip","79934;TX;El Paso, TX;El Paso;El Paso County"
"93141","zip","79932;TX;El Paso, TX;El Paso;El Paso County"
"93139","zip","79930;TX;El Paso, TX;El Paso;El Paso County"
"93137","zip","79928;TX;El Paso, TX;Horizon City;El Paso County"
"93136","zip","79927;TX;El Paso, TX;Socorro;El Paso County"
"93134","zip","79925;TX;El Paso, TX;El Paso;El Paso County"
"93133","zip","79924;TX;El Paso, TX;El Paso;El Paso County"
"93131","zip","79922;TX;El Paso, TX;El Paso;El Paso County"
"93126","zip","79915;TX;El Paso, TX;El Paso;El Paso County"
"93123","zip","79912;TX;El Paso, TX;El Paso;El Paso County"
"93122","zip","79911;TX;El Paso, TX;El Paso;El Paso County"
"93119","zip","79907;TX;El Paso, TX;El Paso;El Paso County"
"93117","zip","79905;TX;El Paso, TX;El Paso;El Paso County"
"93116","zip","79904;TX;El Paso, TX;El Paso;El Paso County"
"93115","zip","79903;TX;El Paso, TX;El Paso;El Paso County"
"93114","zip","79902;TX;El Paso, TX;El Paso;El Paso County"
"93113","zip","79901;TX;El Paso, TX;El Paso;El Paso County"
"93112","zip","79855;TX;nan;Van Horn;Culberson County"
"93110","zip","79853;TX;El Paso, TX;Tornillo;El Paso County"
"93109","zip","79852; TX; Brewster County; Terlingua"
"93107","zip","79849;TX;El Paso, TX;San Elizario;El Paso County"
"93106","zip","79848;TX;nan;nan;Terrell County"
"93103","zip","79845;TX;nan;Presidio;Presidio County"
"93102","zip","79843;TX;nan;Marfa;Presidio County"
"93101","zip","79842;TX;nan;Marathon;Brewster County"
"93099","zip","79838;TX;El Paso, TX;Fabens;El Paso County"
"93097","zip","79836;TX;El Paso, TX;Clint;El Paso County"
"93096","zip","79835;TX;El Paso, TX;nan;El Paso County"
"93093","zip","79831; TX; Brewster County; Alpine"
"93092","zip","79830;TX;nan;Alpine;Brewster County"
"93091","zip","79821;TX;El Paso, TX;Vinton;El Paso County"
"93090","zip","79789; TX; Winkler County; Wink"
"93089","zip","79788; TX; Ward County; Wickett"
"93086","zip","79783; TX; Midland; Martin County; Tarzan"
"93085","zip","79782;TX;Midland, TX;Stanton;Martin County"
"93081","zip","79777; TX; Ward County; Pyote"
"93079","zip","79772;TX;Pecos, TX;Pecos;Reeves County"
"93075","zip","79766;TX;Odessa, TX;Odessa;Ector County"
"93074","zip","79765;TX;Odessa, TX;Odessa;Ector County"
"93073","zip","79764;TX;Odessa, TX;Odessa;Ector County"
"93072","zip","79763;TX;Odessa, TX;Odessa;Ector County"
"93071","zip","79762;TX;Odessa, TX;Odessa;Ector County"
"93070","zip","79761;TX;Odessa, TX;Odessa;Ector County"
"93067","zip","79758;TX;Odessa, TX;Odessa;Ector County"
"93066","zip","79756;TX;nan;nan;Ward County"
"93065","zip","79755; TX; Upton County; Midkiff"
"93062","zip","79749; TX; Midland; Martin County; Tarzan"
"93061","zip","79748; TX; Big Spring; Howard County; Knott"
"93060","zip","79745;TX;nan;Kermit;Winkler County"
"93059","zip","79744; TX; Pecos County; Iraan"
"93058","zip","79743; TX; Pecos County; Imperial"
"93057","zip","79742; TX; Ward County; Grandfalls"
"93056","zip","79741; TX; Odessa, TX; Ector County; Goldsmith"
"93054","zip","79739;TX;nan;Garden City;Glasscock County"
"93052","zip","79735;TX;nan;Fort Stockton;Pecos County"
"93051","zip","79734;TX;nan;Fort Davis;Jeff Davis County"
"93050","zip","79733; TX; Big Spring, TX; Howard County; Forsan"
"93049","zip","79731;TX;nan;Crane;Crane County"
"93048","zip","79730; TX; Pecos County; Coyanosa"
"93046","zip","79720;TX;Big Spring, TX;Big Spring;Howard County"
"93045","zip","79719; TX; Ward County; Barstow"
"93044","zip","79718; TX; Pecos; Reeves County; Balmorhea"
"93043","zip","79714;TX;Andrews, TX;Andrews;Andrews County"
"93042","zip","79713; TX; Midland, TX; Martin County; Ackerly"
"93037","zip","79707;TX;Midland, TX;Midland;Midland County"
"93036","zip","79706;TX;Midland, TX;Midland;Midland County"
"93035","zip","79705;TX;Midland, TX;Midland;Midland County"
"93033","zip","79703;TX;Midland, TX;Midland;Midland County"
"93031","zip","79701;TX;Midland, TX;Midland;Midland County"
"93026","zip","79607; TX; Abilene; Taylor County"
"93025","zip","79606;TX;Abilene, TX;Abilene;Taylor County"
"93024","zip","79605;TX;Abilene, TX;Abilene;Taylor County"
"93022","zip","79603;TX;Abilene, TX;Abilene;Taylor County"
"93021","zip","79602;TX;Abilene, TX;Abilene;Taylor County"
"93020","zip","79601;TX;Abilene, TX;Abilene;Taylor County"
"93019","zip","79567;TX;nan;Winters;Runnels County"
"93018","zip","79566; TX; Abilene, TX; Taylor County; Wingate"
"93017","zip","79565;TX;nan;Westbrook;Mitchell County"
"93016","zip","79563;TX;Abilene, TX;Tye;Taylor County"
"93015","zip","79562;TX;Abilene, TX;Tuscola;Taylor County"
"93014","zip","79561;TX;Sweetwater, TX;Trent;Nolan County"
"93013","zip","79560; TX; Fisher County; Sylvester"
"93012","zip","79556;TX;Sweetwater, TX;Sweetwater;Nolan County"
"93011","zip","79553;TX;Abilene, TX;Stamford;Jones County"
"93009","zip","79549;TX;Snyder, TX;Snyder;Scurry County"
"93008","zip","79548; TX; Haskell County; Rule"
"93007","zip","79547;TX;nan;Rule;Haskell County"
"93006","zip","79546;TX;nan;Rotan;Fisher County"
"93005","zip","79545;TX;Sweetwater, TX;Roscoe;Nolan County"
"93004","zip","79544;TX;nan;Rochester;Haskell County"
"93003","zip","79543;TX;nan;Roby;Fisher County"
"93002","zip","79541;TX;Abilene, TX;Ovalo;Taylor County"
"93000","zip","79539; TX; Haskell County; O'Brien"
"92999","zip","79538; TX; Coleman County; Novice"
"92998","zip","79537; TX; Abilene; Taylor County; Merkel"
"92997","zip","79536;TX;Abilene, TX;Merkel;Taylor County"
"92996","zip","79535; TX; Sweetwater; Nolan County; Maryneal"
"92995","zip","79534; TX; Fisher County; McCaulley"
"92994","zip","79533; TX; Shackelford County; Lueders"
"92993","zip","79532;TX;nan;Loraine;Mitchell County"
"92992","zip","79530;TX;Abilene, TX;Lawn;Taylor County"
"92991","zip","79529;TX;nan;Knox City;Knox County"
"92989","zip","79527;TX;Snyder, TX;Ira;Scurry County"
"92988","zip","79526;TX;Snyder, TX;Hermleigh;Scurry County"
"92987","zip","79525;TX;Abilene, TX;Hawley;Jones County"
"92986","zip","79521;TX;nan;Haskell;Haskell County"
"92985","zip","79520;TX;Abilene, TX;Hamlin;Jones County"
"92984","zip","79519; TX; Coleman County; Goldsboro"
"92982","zip","79517; TX; Snyder; Scurry County; Fluvanna"
"92980","zip","79512;TX;nan;Colorado City;Mitchell County"
"92979","zip","79511;TX;Big Spring, TX;Coahoma;Howard County"
"92978","zip","79510;TX;Abilene, TX;Clyde;Callahan County"
"92977","zip","79508;TX;Abilene, TX;Buffalo Gap;Taylor County"
"92976","zip","79506;TX;Sweetwater, TX;Blackwell;Nolan County"
"92975","zip","79505; TX; Knox County; Benjamin"
"92974","zip","79504;TX;Abilene, TX;Baird;Callahan County"
"92973","zip","79503; TX; Abilene; Jones County; Avoca"
"92972","zip","79502;TX;nan;Aspermont;Stonewall County"
"92971","zip","79501;TX;Abilene, TX;Anson;Jones County"
"92961","zip","79424;TX;Lubbock, TX;Lubbock;Lubbock County"
"92960","zip","79423;TX;Lubbock, TX;Lubbock;Lubbock County"
"92959","zip","79416;TX;Lubbock, TX;Lubbock;Lubbock County"
"92958","zip","79415;TX;Lubbock, TX;Lubbock;Lubbock County"
"92957","zip","79414;TX;Lubbock, TX;Lubbock;Lubbock County"
"92956","zip","79413;TX;Lubbock, TX;Lubbock;Lubbock County"
"92955","zip","79412;TX;Lubbock, TX;Lubbock;Lubbock County"
"92954","zip","79411;TX;Lubbock, TX;Lubbock;Lubbock County"
"92953","zip","79410;TX;Lubbock, TX;Lubbock;Lubbock County"
"92950","zip","79407;TX;Lubbock, TX;Lubbock;Lubbock County"
"92947","zip","79404;TX;Lubbock, TX;Lubbock;Lubbock County"
"92946","zip","79403;TX;Lubbock, TX;Lubbock;Lubbock County"
"92944","zip","79401;TX;Lubbock, TX;Lubbock;Lubbock County"
"92943","zip","79383; TX; Lubbock; Lynn County; New Home"
"92942","zip","79382;TX;Lubbock, TX;Wolfforth;Lubbock County"
"92941","zip","79381;TX;Lubbock, TX;Wilson;Lynn County"
"92940","zip","79380; TX; Lamb County; Littlefield"
"92939","zip","79379;TX;nan;nan;Cochran County"
"92938","zip","79378; TX; Terry County; Brownfield"
"92937","zip","79377; TX; Lamesa; Dawson County; Welch"
"92936","zip","79376; TX; Terry County; Brownfield"
"92935","zip","79373;TX;Lubbock, TX;Tahoka;Lynn County"
