"region_id","region_type","region"
"94702","zip","84770;UT;St. George, UT;Saint George;Washington County"
"94701","zip","84767;UT;St. George, UT;Springdale;Washington County"
"94700","zip","84766; UT; Piute County; Sevier"
"94699","zip","84765;UT;St. George, UT;Santa Clara;Washington County"
"94697","zip","84763;UT;St. George, UT;Rockville;Washington County"
"94696","zip","84762;UT;nan;Duck Creek Village;Kane County"
"94695","zip","84761;UT;Cedar City, UT;Parowan;Iron County"
"94694","zip","84760; UT; Cedar City, UT; Iron County; Parowan"
"94693","zip","84759;UT;nan;Panguitch;Garfield County"
"94692","zip","84758;UT;nan;Orderville;Kane County"
"94691","zip","84757;UT;St. George, UT;Pine Valley;Washington County"
"94690","zip","84756; UT; Cedar City; Iron County; Beryl"
"94688","zip","84754;UT;nan;nan;Sevier County"
"94686","zip","84752;UT;nan;Minersville;Beaver County"
"94685","zip","84751;UT;nan;Beaver;Beaver County"
"94682","zip","84747;UT;nan;nan;Sevier County"
"94681","zip","84746;UT;St. George, UT;nan;Washington County"
"94680","zip","84745;UT;St. George, UT;La Verkin;Washington County"
"94679","zip","84744; UT; Sevier County"
"94677","zip","84742; UT; Cedar City; Iron County; Kanarraville"
"94676","zip","84741;UT;nan;Kanab;Kane County"
"94674","zip","84739;UT;nan;Joseph;Sevier County"
"94673","zip","84738;UT;St. George, UT;Ivins;Washington County"
"94672","zip","84737;UT;St. George, UT;Hurricane;Washington County"
"94668","zip","84733; UT; St. George; Washington County; Veyo"
"94665","zip","84730;UT;nan;nan;Sevier County"
"94664","zip","84729; UT; Kane County; Glendale"
"94661","zip","84725;UT;St. George, UT;nan;Washington County"
"94660","zip","84724;UT;nan;Elsinore;Sevier County"
"94658","zip","84722;UT;St. George, UT;Pine Valley;Washington County"
"94657","zip","84721;UT;Cedar City, UT;Cedar City;Iron County"
"94656","zip","84720;UT;Cedar City, UT;Cedar City;Iron County"
"94655","zip","84719;UT;Cedar City, UT;Brian Head;Iron County"
"94650","zip","84714; UT; Cedar City; Iron County; Beryl"
"94649","zip","84713;UT;nan;Milford;Beaver County"
"94647","zip","84711;UT;nan;nan;Sevier County"
"94646","zip","84710;UT;nan;Alton;Kane County"
"94645","zip","84701;UT;nan;Richfield;Sevier County"
"94644","zip","84667; UT; Sanpete County; Wales"
"94643","zip","84665; UT; Sanpete County; Manti"
"94642","zip","84664;UT;Provo-Orem, UT;Mapleton;Utah County"
"94641","zip","84663;UT;Provo-Orem, UT;Springville;Utah County"
"94640","zip","84662; UT; Sanpete County"
"94639","zip","84660;UT;Provo-Orem, UT;Spanish Fork;Utah County"
"94638","zip","84657;UT;nan;Sigurd;Sevier County"
"94637","zip","84656; UT; Millard County; Scipio"
"94636","zip","84655;UT;Provo-Orem, UT;Santaquin;Utah County"
"94635","zip","84654;UT;nan;nan;Sevier County"
"94634","zip","84653;UT;Provo-Orem, UT;Salem;Utah County"
"94633","zip","84652;UT;nan;Redmond;Sevier County"
"94632","zip","84651;UT;Provo-Orem, UT;Payson;Utah County"
"94631","zip","84649; UT; Millard County; Oak City"
"94630","zip","84648;UT;Provo-Orem, UT;Nephi;Juab County"
"94629","zip","84647;UT;nan;Mount Pleasant;Sanpete County"
"94628","zip","84646; UT; Sanpete County"
"94627","zip","84645;UT;Provo-Orem, UT;nan;Juab County"
"94626","zip","84644; UT; Millard County; Meadow"
"94625","zip","84643; UT; Sanpete County; Mayfield"
"94624","zip","84642; UT; Sanpete County; Manti"
"94622","zip","84639; UT; Provo-Orem, UT; Juab County; Levan"
"94621","zip","84638; UT; Millard County; Leamington"
"94620","zip","84637;UT;nan;Sevier;Millard County"
"94619","zip","84636; UT; Millard County; Holden"
"94618","zip","84635;UT;nan;Hinckley;Millard County"
"94617","zip","84634; UT; Sanpete County; Gunnison"
"94616","zip","84633;UT;Provo-Orem, UT;Goshen;Utah County"
"94615","zip","84632; UT; Sanpete County; Fountain Green"
"94614","zip","84631;UT;nan;Fillmore;Millard County"
"94613","zip","84630; UT; Sanpete County; Fayette"
"94612","zip","84629;UT;nan;Fairview;Sanpete County"
"94611","zip","84628; UT; Provo-Orem, UT; Juab County; Eureka"
"94610","zip","84627; UT; Sanpete County; Ephraim"
"94609","zip","84626; UT; Provo-Orem; Utah County; Goshen"
"94608","zip","84624;UT;nan;Delta;Millard County"
"94606","zip","84622; UT; Sanpete County; Centerfield"
"94604","zip","84620;UT;nan;Aurora;Sevier County"
"94603","zip","84606;UT;Provo-Orem, UT;Provo;Utah County"
"94601","zip","84604;UT;Provo-Orem, UT;Provo;Utah County"
"94598","zip","84601;UT;Provo-Orem, UT;Provo;Utah County"
"94597","zip","84542; UT; Price; Carbon County; Wellington"
"94596","zip","84540; UT; Grand County; Castle Valley"
"94595","zip","84539; UT; Price; Carbon County; East Carbon"
"94594","zip","84537;UT;nan;Castle Dale;Emery County"
"94592","zip","84535;UT;nan;Monticello;San Juan County"
"94589","zip","84532;UT;nan;nan;Grand County"
"94587","zip","84530; UT; San Juan County; La Sal"
"94585","zip","84528;UT;nan;Huntington;Emery County"
"94583","zip","84526;UT;Price, UT;Helper;Carbon County"
"94582","zip","84525;UT;nan;Elmo;Emery County"
"94581","zip","84523;UT;nan;Ferron;Emery County"
"94580","zip","84522; UT; Emery County; Emery"
"94579","zip","84521;UT;nan;Elmo;Emery County"
"94578","zip","84520; UT; Price; Carbon County; East Carbon"
"94577","zip","84518;UT;nan;Elmo;Emery County"
"94574","zip","84513;UT;nan;Castle Dale;Emery County"
"94573","zip","84512; UT; San Juan County; Monticello"
"94572","zip","84511;UT;nan;Blanding;San Juan County"
"94570","zip","84501;UT;Price, UT;Price;Carbon County"
"94568","zip","84414;UT;Ogden-Clearfield, UT;North Ogden;Weber County"
"94563","zip","84405;UT;Ogden-Clearfield, UT;Washington Terrace;Weber County"
"94562","zip","84404;UT;Ogden-Clearfield, UT;Ogden;Weber County"
"94561","zip","84403;UT;Ogden-Clearfield, UT;Ogden;Weber County"
"94559","zip","84401;UT;Ogden-Clearfield, UT;Ogden;Weber County"
"94558","zip","84341;UT;Logan, UT-ID;North Logan;Cache County"
"94557","zip","84340;UT;Ogden-Clearfield, UT;Willard;Box Elder County"
"94556","zip","84339;UT;Logan, UT-ID;Wellsville;Cache County"
"94555","zip","84338;UT;Logan, UT-ID;Trenton;Cache County"
"94554","zip","84337;UT;Ogden-Clearfield, UT;Tremonton;Box Elder County"
"94552","zip","84335;UT;Logan, UT-ID;Smithfield;Cache County"
"94551","zip","84334; UT; Ogden-Clearfield; Box Elder County; Riverside"
"94550","zip","84333;UT;Logan, UT-ID;Richmond;Cache County"
"94549","zip","84332;UT;Logan, UT-ID;Providence;Cache County"
"94548","zip","84331; UT; Ogden-Clearfield, UT; Box Elder County; Portage"
"94547","zip","84330;UT;Ogden-Clearfield, UT;Fielding;Box Elder County"
"94546","zip","84329; UT; Ogden-Clearfield; Box Elder County; Park Valley"
"94545","zip","84328;UT;Logan, UT-ID;Paradise;Cache County"
"94544","zip","84327;UT;Logan, UT-ID;Cache Junction;Cache County"
"94543","zip","84326;UT;Logan, UT-ID;nan;Cache County"
"94542","zip","84325;UT;Logan, UT-ID;Mendon;Cache County"
"94541","zip","84324;UT;Ogden-Clearfield, UT;Mantua;Box Elder County"
"94539","zip","84322; UT; Logan; Cache County"
"94538","zip","84321;UT;Logan, UT-ID;Logan;Cache County"
"94537","zip","84320;UT;Logan, UT-ID;Lewiston;Cache County"
"94536","zip","84319;UT;Logan, UT-ID;Hyrum;Cache County"
"94535","zip","84318;UT;Logan, UT-ID;Hyde Park;Cache County"
"94534","zip","84317;UT;Ogden-Clearfield, UT;Huntsville;Weber County"
"94533","zip","84316; UT; Ogden-Clearfield; Box Elder County; Howell"
"94532","zip","84315;UT;Ogden-Clearfield, UT;Hooper;Weber County"
"94531","zip","84314;UT;Ogden-Clearfield, UT;Honeyville;Box Elder County"
"94529","zip","84312;UT;Ogden-Clearfield, UT;Garland;Box Elder County"
"94528","zip","84311;UT;Ogden-Clearfield, UT;Fielding;Box Elder County"
"94527","zip","84310;UT;Ogden-Clearfield, UT;Eden;Weber County"
"94526","zip","84309;UT;Ogden-Clearfield, UT;Deweyville;Box Elder County"
"94525","zip","84308; UT; Logan, UT-ID; Cache County; Cornish"
"94524","zip","84307;UT;Ogden-Clearfield, UT;Corinne;Box Elder County"
"94523","zip","84306;UT;Ogden-Clearfield, UT;Collinston;Box Elder County"
"94522","zip","84305;UT;Logan, UT-ID;Clarkston;Cache County"
"94521","zip","84304; UT; Logan; Cache County; Cache Junction"
