"region_id","region_type","region"
"94044","zip","83127; WY; Lincoln County"
"94038","zip","83120; ID; Idaho Falls, ID; Bonneville County; Wayan"
"94034","zip","83115;WY;nan;Daniel;Sublette County"
"94032","zip","83113;WY;nan;nan;Sublette County"
"94029","zip","83110;WY;nan;Afton;Lincoln County"
"94028","zip","83101;WY;nan;Kemmerer;Lincoln County"
"94027","zip","83025;WY;Jackson, WY-ID;Wilson;Teton County"
"94026","zip","83014;WY;Jackson, WY-ID;Wilson;Teton County"
"94025","zip","83013;WY;Jackson, WY-ID;Moran;Teton County"
"94024","zip","83012; WY; Jackson; Teton County"
"94023","zip","83011; WY; Jackson, WY-ID; Teton County; Jackson"
"94021","zip","83001;WY;Jackson, WY-ID;Jackson;Teton County"
"94020","zip","82945;WY;Rock Springs, WY;Superior;Sweetwater County"
"94019","zip","82944; WY; Evanston, WY; Uinta County; Fort Bridger"
"94018","zip","82943;WY;Rock Springs, WY;Rock Springs;Sweetwater County"
"94016","zip","82941;WY;nan;Pinedale;Sublette County"
"94015","zip","82939;WY;Evanston, WY;nan;Uinta County"
"94014","zip","82938; WY; Rock Springs; Sweetwater County; McKinnon"
"94013","zip","82937;WY;Evanston, WY;Lyman;Uinta County"
"94012","zip","82936; WY; Evanston; Uinta County; Lonetree"
"94011","zip","82935;WY;Rock Springs, WY;Green River;Sweetwater County"
"94010","zip","82934; WY; Rock Springs; Sweetwater County; Granger"
"94009","zip","82933;WY;Evanston, WY;Fort Bridger;Uinta County"
"94008","zip","82932;WY;Rock Springs, WY;Farson;Sweetwater County"
"94006","zip","82930;WY;Evanston, WY;nan;Uinta County"
"94004","zip","82925; WY; Sublette County; Cora"
"94003","zip","82923;WY;nan;Boulder;Sublette County"
"94002","zip","82922;WY;nan;Bondurant;Sublette County"
"94000","zip","82901;WY;Rock Springs, WY;Rock Springs;Sweetwater County"
"93999","zip","82845; WY; Sheridan; Sheridan County"
"93997","zip","82842;WY;Sheridan, WY;Sheridan;Sheridan County"
"93995","zip","82839;WY;Sheridan, WY;Ranchester;Sheridan County"
"93994","zip","82838;WY;Sheridan, WY;Parkman;Sheridan County"
"93993","zip","82837; WY; Sheridan; Sheridan County; Clearmont"
"93992","zip","82836;WY;Sheridan, WY;Dayton;Sheridan County"
"93991","zip","82835;WY;Sheridan, WY;Clearmont;Sheridan County"
"93990","zip","82834;WY;nan;Buffalo;Johnson County"
"93989","zip","82833;WY;Sheridan, WY;nan;Sheridan County"
"93988","zip","82832;WY;Sheridan, WY;Sheridan;Sheridan County"
"93987","zip","82831; WY; Sheridan; Sheridan County; Arvada"
"93986","zip","82801;WY;Sheridan, WY;Sheridan;Sheridan County"
"93985","zip","82732;WY;Gillette, WY;Wright;Campbell County"
"93984","zip","82731; WY; Gillette; Campbell County; Weston"
"93983","zip","82730;WY;Gillette, WY;Upton;Weston County"
"93982","zip","82729;WY;Gillette, WY;Sundance;Crook County"
"93981","zip","82727;WY;Gillette, WY;Rozet;Campbell County"
"93980","zip","82725; WY; Gillette; Campbell County; Recluse"
"93979","zip","82723; WY; Gillette, WY; Weston County; Osage"
"93978","zip","82721;WY;Gillette, WY;nan;Crook County"
"93977","zip","82720;WY;Gillette, WY;Hulett;Crook County"
"93976","zip","82718;WY;Gillette, WY;Gillette;Campbell County"
"93974","zip","82716;WY;Gillette, WY;Gillette;Campbell County"
"93973","zip","82715; WY; Weston County; Newcastle"
"93972","zip","82714; WY; Crook County; Devils Tower"
"93970","zip","82712;WY;Gillette, WY;Beulah;Crook County"
"93969","zip","82711; WY; Crook County; Alva"
"93968","zip","82710;WY;Gillette, WY;Aladdin;Crook County"
"93967","zip","82701;WY;Gillette, WY;Newcastle;Weston County"
"93966","zip","82649;WY;Riverton, WY;Shoshoni;Fremont County"
"93963","zip","82644; WY; Casper, WY; Natrona County; Mills"
"93962","zip","82643;WY;Casper, WY;Midwest;Natrona County"
"93961","zip","82642; WY; Riverton; Fremont County; Lysite"
"93960","zip","82640; WY; Johnson County; Kaycee"
"93959","zip","82639;WY;nan;Kaycee;Johnson County"
"93958","zip","82638; WY; Casper; Natrona County"
"93957","zip","82637;WY;nan;nan;Converse County"
"93956","zip","82636;WY;Casper, WY;Evansville;Natrona County"
"93955","zip","82635; WY; Casper; Natrona County; Edgerton"
"93954","zip","82633;WY;nan;Douglas;Converse County"
"93952","zip","82620; WY; Casper, WY; Natrona County; Alcova"
"93950","zip","82609;WY;Casper, WY;Casper;Natrona County"
"93948","zip","82604;WY;Casper, WY;Casper;Natrona County"
"93946","zip","82601;WY;Casper, WY;Casper;Natrona County"
"93944","zip","82523;WY;Riverton, WY;Pavillion;Fremont County"
"93943","zip","82520;WY;Riverton, WY;Lander;Fremont County"
"93942","zip","82516;WY;Riverton, WY;Kinnear;Fremont County"
"93941","zip","82515;WY;Riverton, WY;Hudson;Fremont County"
"93940","zip","82514; WY; Riverton; Fremont County; Fort Washakie"
"93939","zip","82513;WY;Riverton, WY;Dubois;Fremont County"
"93938","zip","82512; WY; Riverton, WY; Fremont County; Kinnear"
"93937","zip","82510; WY; Riverton; Fremont County; Arapahoe"
"93936","zip","82501;WY;Riverton, WY;Riverton;Fremont County"
"93934","zip","82443;WY;nan;nan;Hot Springs County"
"93933","zip","82442;WY;nan;Ten Sleep;Washakie County"
"93932","zip","82441;WY;nan;nan;Big Horn County"
"93930","zip","82435;WY;nan;Powell;Park County"
"93929","zip","82434; WY; Big Horn County; Otto"
"93928","zip","82433;WY;nan;Meeteetse;Park County"
"93927","zip","82432;WY;nan;Manderson;Big Horn County"
"93926","zip","82431;WY;nan;Lovell;Big Horn County"
"93925","zip","82430; WY; Hot Springs County; Kirby"
"93924","zip","82428; WY; Big Horn County"
"93923","zip","82426;WY;nan;Greybull;Big Horn County"
"93922","zip","82423; WY; Big Horn County; Deaver"
"93921","zip","82422; WY; Big Horn County; Greybull"
